name,year,frequency
jesus,1,41
famille,1,197
dimanche,1,234
social,1,71
projet,1,263
membres,1,130
enfants,1,101
priere,1,38
chretienne,1,1
jesus,2,38
famille,2,222
dimanche,2,266
social,2,81
projet,2,277
membres,2,157
enfants,2,182
priere,2,32
chretienne,2,1
jesus,3,25
famille,3,144
dimanche,3,274
social,3,91
projet,3,258
membres,3,156
enfants,3,249
priere,3,16
chretienne,3,4
jesus,4,26
famille,4,164
dimanche,4,256
social,4,90
projet,4,305
membres,4,140
enfants,4,273
priere,4,22
chretienne,4,13
jesus,5,25
famille,5,187
dimanche,5,269
social,5,77
projet,5,307
membres,5,140
enfants,5,318
priere,5,10
chretienne,5,9
jesus,6,25
famille,6,213
dimanche,6,257
social,6,74
projet,6,241
membres,6,138
enfants,6,327
priere,6,19
chretienne,6,1
jesus,7,21
famille,7,234
dimanche,7,239
social,7,68
projet,7,199
membres,7,141
enfants,7,344
priere,7,36
chretienne,7,1
jesus,8,45
famille,8,228
dimanche,8,253
social,8,66
projet,8,186
membres,8,141
enfants,8,359
priere,8,33
chretienne,8,4
jesus,9,64
famille,9,251
dimanche,9,209
social,9,67
projet,9,226
membres,9,141
enfants,9,370
priere,9,57
chretienne,9,4
jesus,10,41
famille,10,223
dimanche,10,163
social,10,65
projet,10,245
membres,10,164
enfants,10,354
priere,10,64
chretienne,10,1
jesus,11,36
famille,11,205
dimanche,11,185
social,11,68
projet,11,224
membres,11,148
enfants,11,300
priere,11,54
chretienne,11,5
jesus,12,60
famille,12,233
dimanche,12,212
social,12,65
projet,12,226
membres,12,121
enfants,12,254
priere,12,81
chretienne,12,5
jesus,13,58
famille,13,220
dimanche,13,334
social,13,90
projet,13,267
membres,13,133
enfants,13,266
priere,13,55
chretienne,13,1
jesus,14,37
famille,14,189
dimanche,14,338
social,14,92
projet,14,277
membres,14,129
enfants,14,298
priere,14,26
chretienne,14,2
jesus,15,46
famille,15,190
dimanche,15,226
social,15,57
projet,15,211
membres,15,119
enfants,15,259
priere,15,64
chretienne,15,2
jesus,16,42
famille,16,217
dimanche,16,264
social,16,44
projet,16,180
membres,16,131
enfants,16,271
priere,16,52
chretienne,16,8
jesus,17,21
famille,17,277
dimanche,17,303
social,17,47
projet,17,230
membres,17,121
enfants,17,261
priere,17,18
chretienne,17,6
jesus,18,12
famille,18,278
dimanche,18,290
social,18,54
projet,18,309
membres,18,106
enfants,18,227
priere,18,15
chretienne,18,0
jesus,19,28
famille,19,213
dimanche,19,296
social,19,58
projet,19,283
membres,19,130
enfants,19,212
priere,19,22
chretienne,19,2
jesus,20,35
famille,20,212
dimanche,20,303
social,20,54
projet,20,300
membres,20,124
enfants,20,215
priere,20,26
chretienne,20,3
jesus,21,31
famille,21,259
dimanche,21,302
social,21,53
projet,21,296
membres,21,119
enfants,21,239
priere,21,46
chretienne,21,26
jesus,22,31
famille,22,265
dimanche,22,280
social,22,67
projet,22,198
membres,22,118
enfants,22,250
priere,22,56
chretienne,22,28
jesus,23,22
famille,23,236
dimanche,23,280
social,23,80
projet,23,235
membres,23,126
enfants,23,253
priere,23,41
chretienne,23,9
jesus,24,22
famille,24,257
dimanche,24,293
social,24,88
projet,24,289
membres,24,147
enfants,24,271
priere,24,48
chretienne,24,8
jesus,25,24
famille,25,346
dimanche,25,249
social,25,82
projet,25,270
membres,25,149
enfants,25,335
priere,25,33
chretienne,25,4
jesus,26,41
famille,26,344
dimanche,26,192
social,26,67
projet,26,242
membres,26,189
enfants,26,393
priere,26,38
chretienne,26,6
jesus,27,51
famille,27,271
dimanche,27,203
social,27,77
projet,27,238
membres,27,170
enfants,27,316
priere,27,63
chretienne,27,6
jesus,28,172
famille,28,268
dimanche,28,282
social,28,79
projet,28,261
membres,28,135
enfants,28,256
priere,28,241
chretienne,28,21
jesus,29,276
famille,29,313
dimanche,29,354
social,29,59
projet,29,306
membres,29,142
enfants,29,290
priere,29,430
chretienne,29,35
jesus,30,205
famille,30,322
dimanche,30,364
social,30,58
projet,30,304
membres,30,140
enfants,30,317
priere,30,336
chretienne,30,30
jesus,31,171
famille,31,340
dimanche,31,313
social,31,59
projet,31,274
membres,31,136
enfants,31,389
priere,31,251
chretienne,31,31
jesus,32,208
famille,32,356
dimanche,32,296
social,32,65
projet,32,301
membres,32,122
enfants,32,416
priere,32,282
chretienne,32,31
jesus,33,317
famille,33,302
dimanche,33,293
social,33,71
projet,33,313
membres,33,128
enfants,33,390
priere,33,295
chretienne,33,23
jesus,34,332
famille,34,301
dimanche,34,279
social,34,74
projet,34,277
membres,34,138
enfants,34,404
priere,34,286
chretienne,34,17
jesus,35,274
famille,35,371
dimanche,35,268
social,35,82
projet,35,277
membres,35,157
enfants,35,390
priere,35,275
chretienne,35,18
jesus,36,265
famille,36,382
dimanche,36,248
social,36,77
projet,36,255
membres,36,140
enfants,36,369
priere,36,254
chretienne,36,47
jesus,37,247
famille,37,310
dimanche,37,248
social,37,66
projet,37,220
membres,37,100
enfants,37,366
priere,37,226
chretienne,37,78
jesus,38,247
famille,38,266
dimanche,38,262
social,38,61
projet,38,219
membres,38,95
enfants,38,341
priere,38,227
chretienne,38,78
jesus,39,234
famille,39,269
dimanche,39,254
social,39,56
projet,39,199
membres,39,98
enfants,39,341
priere,39,210
chretienne,39,81
jesus,40,233
famille,40,286
dimanche,40,236
social,40,53
projet,40,181
membres,40,96
enfants,40,348
priere,40,184
chretienne,40,91
jesus,41,220
famille,41,289
dimanche,41,246
social,41,58
projet,41,192
membres,41,89
enfants,41,353
priere,41,207
chretienne,41,98
jesus,42,195
famille,42,279
dimanche,42,243
social,42,60
projet,42,182
membres,42,99
enfants,42,407
priere,42,205
chretienne,42,95
jesus,43,197
famille,43,286
dimanche,43,239
social,43,64
projet,43,145
membres,43,117
enfants,43,452
priere,43,172
chretienne,43,89
jesus,44,201
famille,44,309
dimanche,44,270
social,44,64
projet,44,155
membres,44,127
enfants,44,443
priere,44,177
chretienne,44,84
jesus,45,202
famille,45,312
dimanche,45,280
social,45,60
projet,45,170
membres,45,128
enfants,45,425
priere,45,197
chretienne,45,78
jesus,46,197
famille,46,288
dimanche,46,269
social,46,61
projet,46,169
membres,46,133
enfants,46,419
priere,46,199
chretienne,46,75
jesus,47,178
famille,47,291
dimanche,47,260
social,47,61
projet,47,175
membres,47,139
enfants,47,433
priere,47,207
chretienne,47,71
jesus,48,166
famille,48,310
dimanche,48,256
social,48,70
projet,48,179
membres,48,129
enfants,48,438
priere,48,203
chretienne,48,71
jesus,49,160
famille,49,320
dimanche,49,245
social,49,75
projet,49,186
membres,49,116
enfants,49,447
priere,49,176
chretienne,49,74
jesus,50,162
famille,50,356
dimanche,50,239
social,50,72
projet,50,187
membres,50,113
enfants,50,452
priere,50,179
chretienne,50,74
jesus,51,107
famille,51,567
dimanche,51,231
social,51,81
projet,51,174
membres,51,133
enfants,51,394
priere,51,124
chretienne,51,45
jesus,52,61
famille,52,596
dimanche,52,196
social,52,72
projet,52,152
membres,52,125
enfants,52,440
priere,52,99
chretienne,52,21
jesus,53,47
famille,53,408
dimanche,53,249
social,53,53
projet,53,173
membres,53,112
enfants,53,462
priere,53,89
chretienne,53,18
jesus,54,14
famille,54,401
dimanche,54,319
social,54,56
projet,54,205
membres,54,133
enfants,54,405
priere,54,30
chretienne,54,8
jesus,55,11
famille,55,404
dimanche,55,299
social,55,63
projet,55,201
membres,55,147
enfants,55,394
priere,55,16
chretienne,55,5
jesus,56,19
famille,56,319
dimanche,56,278
social,56,63
projet,56,197
membres,56,137
enfants,56,363
priere,56,26
chretienne,56,5
jesus,57,47
famille,57,299
dimanche,57,300
social,57,67
projet,57,177
membres,57,128
enfants,57,363
priere,57,75
chretienne,57,21
jesus,58,36
famille,58,325
dimanche,58,282
social,58,72
projet,58,204
membres,58,111
enfants,58,430
priere,58,65
chretienne,58,19
jesus,59,71
famille,59,304
dimanche,59,296
social,59,69
projet,59,224
membres,59,84
enfants,59,439
priere,59,92
chretienne,59,30
jesus,60,208
famille,60,304
dimanche,60,334
social,60,71
projet,60,194
membres,60,92
enfants,60,380
priere,60,223
chretienne,60,78
jesus,61,265
famille,61,326
dimanche,61,287
social,61,93
