name,year,frequency
education,1,63
tech,1,60
techniques,1,211
technique,1,118
digital,1,62
energies,1,37
logiciel,1,118
formation,1,328
electrique,1,63
education,2,80
tech,2,44
techniques,2,199
technique,2,125
digital,2,54
energies,2,30
logiciel,2,90
formation,2,375
electrique,2,37
education,3,98
tech,3,61
techniques,3,208
technique,3,126
digital,3,59
energies,3,21
logiciel,3,110
formation,3,436
electrique,3,36
education,4,71
tech,4,72
techniques,4,209
technique,4,133
digital,4,59
energies,4,19
logiciel,4,149
formation,4,436
electrique,4,32
education,5,46
tech,5,60
techniques,5,228
technique,5,116
digital,5,44
energies,5,26
logiciel,5,140
formation,5,404
electrique,5,94
education,6,45
tech,6,50
techniques,6,246
technique,6,136
digital,6,43
energies,6,29
logiciel,6,122
formation,6,448
electrique,6,110
education,7,47
tech,7,54
techniques,7,280
technique,7,136
digital,7,47
energies,7,20
logiciel,7,126
formation,7,507
electrique,7,71
education,8,60
tech,8,53
techniques,8,271
technique,8,146
digital,8,33
energies,8,20
logiciel,8,119
formation,8,499
electrique,8,65
education,9,51
tech,9,57
techniques,9,229
technique,9,161
digital,9,34
energies,9,25
logiciel,9,114
formation,9,469
electrique,9,54
education,10,40
tech,10,63
techniques,10,216
technique,10,151
digital,10,52
energies,10,16
logiciel,10,114
formation,10,419
electrique,10,51
education,11,44
tech,11,75
techniques,11,200
technique,11,127
digital,11,49
energies,11,20
logiciel,11,104
formation,11,378
electrique,11,76
education,12,45
tech,12,81
techniques,12,200
technique,12,132
digital,12,42
energies,12,21
logiciel,12,105
formation,12,400
electrique,12,93
education,13,39
tech,13,64
techniques,13,193
technique,13,173
digital,13,39
energies,13,36
logiciel,13,104
formation,13,447
electrique,13,64
education,14,42
tech,14,62
techniques,14,186
technique,14,187
digital,14,30
energies,14,36
logiciel,14,112
formation,14,425
electrique,14,51
education,15,64
tech,15,48
techniques,15,186
technique,15,154
digital,15,31
energies,15,57
logiciel,15,121
formation,15,441
electrique,15,70
education,16,57
tech,16,28
techniques,16,174
technique,16,123
digital,16,26
energies,16,81
logiciel,16,123
formation,16,425
electrique,16,75
education,17,47
tech,17,37
techniques,17,178
technique,17,110
digital,17,24
energies,17,58
logiciel,17,118
formation,17,381
electrique,17,80
education,18,72
tech,18,37
techniques,18,237
technique,18,114
digital,18,32
energies,18,34
logiciel,18,137
formation,18,586
electrique,18,95
education,19,70
tech,19,42
techniques,19,232
technique,19,148
digital,19,34
energies,19,22
logiciel,19,152
formation,19,606
electrique,19,82
education,20,50
tech,20,70
techniques,20,188
technique,20,136
digital,20,30
energies,20,40
logiciel,20,139
formation,20,489
electrique,20,84
education,21,62
tech,21,72
techniques,21,238
technique,21,114
