name,value,year,lastValue,rank
musique,6.4625251112664595,1,6.4625251112664595,1
skyrock,0.9385459540739043,1,0.9385459540739043,2
guitare,0.23211316395363468,1,0.23211316395363468,3
musique,6.455931955385663,2,6.4625251112664595,1
skyrock,0.9140686251466089,2,0.9385459540739043,2
guitare,0.3354395849004759,2,0.23211316395363468,3
musique,6.249947073512761,3,6.455931955385663,1
guitare,1.1390142094047424,3,0.3354395849004759,2
skyrock,0.8775205755741992,3,0.9140686251466089,3
musique,6.812755247217775,4,6.249947073512761,1
guitare,1.1163531752600704,4,1.1390142094047424,2
skyrock,0.34984039401582034,4,0.8775205755741992,3
musique,7.138364973579959,5,6.812755247217775,1
skyrock,0.4589580418784309,5,0.34984039401582034,2
guitare,0.2736348327860745,5,1.1163531752600704,3
musique,6.85845470006087,6,7.138364973579959,1
guitare,0.6207225753310098,6,0.2736348327860745,2
skyrock,0.46123168450424323,6,0.4589580418784309,3
musique,7.106589514695695,7,6.85845470006087,1
guitare,1.004465347244075,7,0.6207225753310098,2
skyrock,0.2679775422584233,7,0.46123168450424323,3
musique,7.038026972870698,8,7.106589514695695,1
guitare,0.9773181766001903,8,1.004465347244075,2
skyrock,0.11987983147664233,8,0.2679775422584233,3
musique,6.396312991073804,9,7.038026972870698,1
guitare,0.8214232944072547,9,0.9773181766001903,2
skyrock,0.19659441328690996,9,0.11987983147664233,3
musique,6.505343617501788,10,6.396312991073804,1
guitare,0.6795660523927047,10,0.8214232944072547,2
skyrock,0.20876289201552056,10,0.19659441328690996,3
musique,6.132819012142924,11,6.505343617501788,1
guitare,0.7880428523530382,11,0.6795660523927047,2
skyrock,0.25188832513179216,11,0.20876289201552056,3
musique,6.636825258568235,12,6.132819012142924,1
guitare,0.7888715200454763,12,0.7880428523530382,2
skyrock,0.3103876845777753,12,0.25188832513179216,3
musique,8.128218047913956,13,6.636825258568235,1
skyrock,0.5314781788737233,13,0.3103876845777753,2
guitare,0.48819906915143385,13,0.7888715200454763,3
musique,8.121302354611503,14,8.128218047913956,1
skyrock,0.49882145060927074,14,0.5314781788737233,2
guitare,0.3956773170850691,14,0.48819906915143385,3
musique,8.716267861271724,15,8.121302354611503,1
skyrock,0.2878821868074609,15,0.49882145060927074,2
guitare,0.23698270224181356,15,0.3956773170850691,3
musique,8.069086641000407,16,8.716267861271724,1
skyrock,0.2144844066427635,16,0.2878821868074609,2
guitare,0.08232394881320705,16,0.23698270224181356,3
musique,7.405252159343965,17,8.069086641000407,1
guitare,0.2520540203289929,17,0.08232394881320705,2
skyrock,0.13264444048529014,17,0.2144844066427635,3
musique,10.168520362643466,18,7.405252159343965,1
guitare,0.48478926510268827,18,0.2520540203289929,2
skyrock,0.41980007528264696,18,0.13264444048529014,3
musique,10.68138794908679,19,10.168520362643466,1
skyrock,0.5305709844763127,19,0.41980007528264696,2
guitare,0.3517302519970913,19,0.48478926510268827,3
musique,8.972716225845204,20,10.68138794908679,1
skyrock,0.4731781967980089,20,0.5305709844763127,2
guitare,0.46142393904064655,20,0.3517302519970913,3
musique,9.095822621258769,21,8.972716225845204,1
guitare,0.481043727811442,21,0.46142393904064655,2
skyrock,0.47262512955817393,21,0.4731781967980089,3
musique,7.635706378153053,22,9.095822621258769,1
skyrock,0.28621726982160145,22,0.47262512955817393,2
guitare,0.24916619901865938,22,0.481043727811442,3
musique,6.847032258448815,23,7.635706378153053,1
guitare,0.49546461120439556,23,0.24916619901865938,2
skyrock,0.15397297304048285,23,0.28621726982160145,3
musique,8.389892625024387,24,6.847032258448815,1
guitare,0.699399086007944,24,0.49546461120439556,2
skyrock,0.24016561147559123,24,0.15397297304048285,3
musique,7.678787297528347,25,8.389892625024387,1
guitare,0.6220857859008027,25,0.699399086007944,2
skyrock,0.6118574429025856,25,0.24016561147559123,3
musique,5.799135775878849,26,7.678787297528347,1
