name,value,year,lastValue,rank
Sports,13.990738522100049,1,13.990738522100049,1
Divertissement,13.818331941481595,1,13.818331941481595,2
Actualites,12.801929617599818,1,12.801929617599818,3
Gaming,12.303644375241529,1,12.303644375241529,4
Politique,11.520002285508372,1,11.520002285508372,5
Associatif,10.796802611761482,1,10.796802611761482,6
Education,10.63370040470192,1,10.63370040470192,7
Fortnite,9.303219932788185,1,9.303219932788185,8
Musique,7.633184229293999,1,7.633184229293999,9
Beauté,6.961754829557374,1,6.961754829557374,10
Film,5.207364417499459,1,5.207364417499459,11
Voyage et événements,4.057284187306319,1,4.057284187306319,12
Automobile,3.4222340499839534,1,3.4222340499839534,13
Animaux,1.007704161219242,1,1.007704161219242,14
Gaming,16.868516636062378,2,12.303644375241529,1
Actualites,15.308694873600686,2,12.801929617599818,2
Divertissement,15.05296557774044,2,13.818331941481595,3
Sports,13.732725035712235,2,13.990738522100049,4
Associatif,12.615233915300186,2,10.796802611761482,5
Politique,11.228938075418721,2,11.520002285508372,6
Education,10.406536839467353,2,10.63370040470192,7
Fortnite,9.623168147885155,2,9.303219932788185,8
Beauté,8.293584486160103,2,6.961754829557374,9
Musique,7.705440165432747,2,7.633184229293999,10
Film,6.779050988354731,2,5.207364417499459,11
Voyage et événements,3.9824228578297856,2,4.057284187306319,12
Automobile,3.5875596402555017,2,3.4222340499839534,13
Animaux,1.8301275535524402,2,1.007704161219242,14
Gaming,20.75706805834341,3,16.868516636062378,1
Actualites,15.552215983621263,3,15.308694873600686,2
Divertissement,15.325880994689765,3,15.05296557774044,3
Fortnite,13.87294441395256,3,9.623168147885155,4
Sports,13.301764535091754,3,13.732725035712235,5
Associatif,12.205689312439391,3,12.615233915300186,6
Education,11.594090588588758,3,10.406536839467353,7
Politique,10.728056289357601,3,11.228938075418721,8
Beauté,9.11176214354748,3,8.293584486160103,9
Musique,8.266481858491701,3,7.705440165432747,10
Film,7.496803595118376,3,6.779050988354731,11
Automobile,4.280140273682502,3,3.5875596402555017,12
Voyage et événements,3.6353981316768995,3,3.9824228578297856,13
Animaux,1.542575425654233,3,1.8301275535524402,14
Gaming,19.0355688631685,4,20.75706805834341,1
Actualites,17.815582192860717,4,15.552215983621263,2
Divertissement,14.61233490566808,4,15.325880994689765,3
Sports,14.513606310985187,4,13.301764535091754,4
Associatif,12.92501316597254,4,12.205689312439391,5
Education,11.84983994540617,4,11.594090588588758,6
Politique,11.028203331041041,4,10.728056289357601,7
Fortnite,10.976457640306277,4,13.87294441395256,8
Beauté,8.30296897372588,4,9.11176214354748,9
Musique,8.278948816493667,4,8.266481858491701,10
Film,7.9432333202464385,4,7.496803595118376,11
Voyage et événements,4.189417355763115,4,3.6353981316768995,12
Automobile,3.399128384235511,4,4.280140273682502,13
Animaux,0.8793384616426627,4,1.542575425654233,14
Actualites,26.02678075783932,5,17.815582192860717,1
Gaming,15.468438772678002,5,19.0355688631685,2
Sports,15.216479582689852,5,14.513606310985187,3
Divertissement,14.291735620041303,5,14.61233490566808,4
Associatif,13.484809963272268,5,12.92501316597254,5
Education,11.63644973640472,5,11.84983994540617,6
Politique,11.380293760396551,5,11.028203331041041,7
Beauté,8.094166960323653,5,8.30296897372588,8
Fortnite,8.066185844279904,5,10.976457640306277,9
Musique,7.870957848244464,5,8.278948816493667,10
Film,7.51604846758535,5,7.9432333202464385,11
Voyage et événements,4.367787440740416,5,4.189417355763115,12
Automobile,3.67235776937666,5,3.399128384235511,13
Animaux,0.9231479870057451,5,0.8793384616426627,14
Actualites,40.68022415434357,6,26.02678075783932,1
Gaming,16.932647447518054,6,15.468438772678002,2
Divertissement,15.204836341728488,6,14.291735620041303,3
Fortnite,14.353012396780203,6,8.066185844279904,4
Sports,13.35324004740745,6,15.216479582689852,5
Associatif,12.981213629442408,6,13.484809963272268,6
Education,12.341640721010858,6,11.63644973640472,7
Politique,11.591352204228011,6,11.380293760396551,8
Beauté,9.077944645240173,6,8.094166960323653,9
Musique,7.940408959896124,6,7.870957848244464,10
Film,6.36032468385234,6,7.51604846758535,11
Automobile,4.957805543622041,6,3.67235776937666,12
Voyage et événements,4.247014188854054,6,4.367787440740416,13
Animaux,1.0964499051974277,6,0.9231479870057451,14
Actualites,44.433099770751674,7,40.68022415434357,1
Gaming,19.62583005508225,7,16.932647447518054,2
Fortnite,18.172744675671858,7,14.353012396780203,3
Divertissement,15.25687903747673,7,15.204836341728488,4
Education,12.924865495797334,7,12.341640721010858,5
Associatif,12.861240937543268,7,12.981213629442408,6
Sports,12.395303560326967,7,13.35324004740745,7
