name,year,frequency
Fortnite,1,930
Film,1,520
Automobile,1,342
Musique,1,763
Animaux,1,100
Sports,1,1399
Voyage et événements,1,405
Gaming,1,1230
Divertissement,1,1381
Politique,1,1152
Beauté,1,696
Education,1,1063
Associatif,1,1079
Actualites,1,1280
Fortnite,2,962
Film,2,677
Automobile,2,358
Musique,2,770
Animaux,2,183
Sports,2,1373
Voyage et événements,2,398
Gaming,2,1686
Divertissement,2,1505
Politique,2,1122
Beauté,2,829
Education,2,1040
Associatif,2,1261
Actualites,2,1530
Fortnite,3,1387
Film,3,749
Automobile,3,428
Musique,3,826
Animaux,3,154
Sports,3,1330
Voyage et événements,3,363
Gaming,3,2075
Divertissement,3,1532
Politique,3,1072
Beauté,3,911
Education,3,1159
Associatif,3,1220
Actualites,3,1555
Fortnite,4,1097
Film,4,794
Automobile,4,339
Musique,4,827
Animaux,4,87
Sports,4,1451
Voyage et événements,4,418
Gaming,4,1903
Divertissement,4,1461
Politique,4,1102
Beauté,4,830
Education,4,1184
Associatif,4,1292
Actualites,4,1781
Fortnite,5,806
Film,5,751
Automobile,5,367
Musique,5,787
Animaux,5,92
Sports,5,1521
Voyage et événements,5,436
Gaming,5,1546
Divertissement,5,1429
Politique,5,1138
Beauté,5,809
Education,5,1163
Associatif,5,1348
Actualites,5,2602
Fortnite,6,1435
Film,6,636
Automobile,6,495
Musique,6,794
Animaux,6,109
Sports,6,1335
Voyage et événements,6,424
Gaming,6,1693
Divertissement,6,1520
Politique,6,1159
Beauté,6,907
Education,6,1234
Associatif,6,1298
Actualites,6,4068
Fortnite,7,1817
Film,7,695
Automobile,7,503
Musique,7,837
Animaux,7,200
Sports,7,1239
Voyage et événements,7,483
Gaming,7,1962
Divertissement,7,1525
Politique,7,1063
Beauté,7,971
Education,7,1292
Associatif,7,1286
Actualites,7,4443
Fortnite,8,3555
Film,8,760
Automobile,8,417
Musique,8,813
Animaux,8,223
Sports,8,1210
Voyage et événements,8,519
Gaming,8,1981
Divertissement,8,1550
Politique,8,1038
Beauté,8,1067
Education,8,1270
Associatif,8,1318
Actualites,8,3677
Fortnite,9,3754
Film,9,743
Automobile,9,341
Musique,9,741
Animaux,9,169
Sports,9,1107
Voyage et événements,9,500
Gaming,9,2188
Divertissement,9,1692
Politique,9,1115
Beauté,9,1025
Education,9,1199
Associatif,9,1393
Actualites,9,3056
Fortnite,10,3362
Film,10,744
Automobile,10,361
Musique,10,739
Animaux,10,132
Sports,10,1177
Voyage et événements,10,535
Gaming,10,2370
Divertissement,10,1586
Politique,10,1118
Beauté,10,1013
Education,10,1126
Associatif,10,1325
Actualites,10,2654
Fortnite,11,3945
Film,11,775
Automobile,11,449
Musique,11,717
Animaux,11,103
Sports,11,1417
Voyage et événements,11,578
Gaming,11,2319
Divertissement,11,1538
Politique,11,1064
Beauté,11,1039
Education,11,1076
Associatif,11,1229
Actualites,11,2287
Fortnite,12,3317
Film,12,877
Automobile,12,483
Musique,12,773
Animaux,12,128
Sports,12,1491
Voyage et événements,12,571
Gaming,12,2384
Divertissement,12,1666
Politique,12,1102
Beauté,12,935
Education,12,1124
Associatif,12,1261
Actualites,12,2026
Fortnite,13,3142
Film,13,915
Automobile,13,532
Musique,13,914
Animaux,13,138
Sports,13,1466
Voyage et événements,13,576
Gaming,13,2756
Divertissement,13,1652
Politique,13,1235
Beauté,13,941
Education,13,1163
Associatif,13,1429
Actualites,13,2179
Fortnite,14,2598
Film,14,971
Automobile,14,571
Musique,14,901
Animaux,14,120
Sports,14,1551
Voyage et événements,14,587
Gaming,14,2658
Divertissement,14,1730
Politique,14,1301
Beauté,14,948
Education,14,1135
Associatif,14,1392
Actualites,14,2205
Fortnite,15,2204
Film,15,1051
Automobile,15,430
Musique,15,924
Animaux,15,137
Sports,15,1653
Voyage et événements,15,603
Gaming,15,2186
Divertissement,15,1904
Politique,15,1233
Beauté,15,983
Education,15,1175
Associatif,15,1179
Actualites,15,2080
Fortnite,16,2521
Film,16,1074
Automobile,16,340
Musique,16,836
Animaux,16,153
Sports,16,2085
Voyage et événements,16,646
Gaming,16,2384
Divertissement,16,1804
Politique,16,1113
Beauté,16,996
Education,16,1116
Associatif,16,1213
Actualites,16,1979
Fortnite,17,2403
Film,17,1157
Automobile,17,341
Musique,17,778
Animaux,17,131
Sports,17,2590
Voyage et événements,17,674
Gaming,17,2555
Divertissement,17,1711
Politique,17,1061
Beauté,17,981
Education,17,1036
Associatif,17,1287
Actualites,17,1989
Fortnite,18,2045
Film,18,1276
Automobile,18,343
Musique,18,1107
Animaux,18,132
Sports,18,2303
Voyage et événements,18,622
Gaming,18,2126
Divertissement,18,1924
Politique,18,1090
Beauté,18,988
Education,18,1348
Associatif,18,1296
Actualites,18,2041
Fortnite,19,1835
Film,19,1252
Automobile,19,337
Musique,19,1156
Animaux,19,156
Sports,19,1829
Voyage et événements,19,552
Gaming,19,1852
Divertissement,19,1999
Politique,19,1131
Beauté,19,982
Education,19,1393
Associatif,19,1247
Actualites,19,2029
Fortnite,20,1459
Film,20,1281
Automobile,20,314
Musique,20,990
Animaux,20,141
Sports,20,1749
Voyage et événements,20,525
Gaming,20,1878
Divertissement,20,2007
Politique,20,1122
Beauté,20,1018
Education,20,1231
Associatif,20,1276
Actualites,20,2060
Fortnite,21,2267
Film,21,1399
Automobile,21,312
Musique,21,1004
Animaux,21,117
Sports,21,1739
Voyage et événements,21,520
Gaming,21,2158
Divertissement,21,2063
Politique,21,1089
Beauté,21,1074
Education,21,1348
Associatif,21,1375
Actualites,21,2047
Fortnite,22,2993
Film,22,1448
Automobile,22,345
Musique,22,817
Animaux,22,145
Sports,22,1696
Voyage et événements,22,516
Gaming,22,2400
Divertissement,22,2061
Politique,22,1124
Beauté,22,1117
Education,22,1281
Associatif,22,1298
Actualites,22,2093
Fortnite,23,3089
Film,23,1826
Automobile,23,355
Musique,23,749
Animaux,23,166
Sports,23,1683
Voyage et événements,23,530
Gaming,23,2336
Divertissement,23,2279
Politique,23,1202
Beauté,23,1232
Education,23,1374
Associatif,23,1286
Actualites,23,2031
Fortnite,24,2734
Film,24,2078
Automobile,24,318
Musique,24,932
Animaux,24,163
Sports,24,1720
Voyage et événements,24,481
Gaming,24,2142
Divertissement,24,2355
Politique,24,1177
Beauté,24,1328
Education,24,1523
Associatif,24,1427
Actualites,24,1784
Fortnite,25,1500
Film,25,2147
Automobile,25,303
Musique,25,891
Animaux,25,150
Sports,25,1768
Voyage et événements,25,427
Gaming,25,2300
Divertissement,25,2371
Politique,25,1072
Beauté,25,1278
Education,25,1400
Associatif,25,1496
Actualites,25,1545
Fortnite,26,1666
Film,26,2205
Automobile,26,615
Musique,26,683
Animaux,26,137
Sports,26,1615
Voyage et événements,26,473
Gaming,26,2595
Divertissement,26,2460
Politique,26,1020
Beauté,26,1219
Education,26,1204
