name,year,frequency
chat,1,46
chiennete,1,0
animaux,1,54
fortnite,1,930
chat,2,75
chiennete,2,0
animaux,2,107
fortnite,2,962
chat,3,65
chiennete,3,0
animaux,3,89
fortnite,3,1387
chat,4,39
chiennete,4,0
animaux,4,48
fortnite,4,1097
chat,5,41
chiennete,5,0
animaux,5,51
fortnite,5,806
chat,6,62
chiennete,6,0
animaux,6,46
fortnite,6,1435
chat,7,85
chiennete,7,0
animaux,7,114
fortnite,7,1817
chat,8,99
chiennete,8,0
animaux,8,123
fortnite,8,3555
chat,9,86
chiennete,9,0
animaux,9,82
fortnite,9,3754
chat,10,50
chiennete,10,0
animaux,10,82
fortnite,10,3362
chat,11,54
chiennete,11,0
animaux,11,49
fortnite,11,3945
chat,12,84
chiennete,12,0
animaux,12,44
fortnite,12,3317
chat,13,84
chiennete,13,0
animaux,13,53
fortnite,13,3142
chat,14,58
chiennete,14,0
animaux,14,61
fortnite,14,2598
chat,15,62
chiennete,15,0
animaux,15,74
fortnite,15,2204
chat,16,85
chiennete,16,0
animaux,16,67
fortnite,16,2521
chat,17,69
chiennete,17,0
animaux,17,61
fortnite,17,2403
chat,18,56
chiennete,18,0
animaux,18,76
fortnite,18,2045
chat,19,72
chiennete,19,0
animaux,19,84
fortnite,19,1835
chat,20,70
chiennete,20,0
animaux,20,71
fortnite,20,1459
chat,21,57
chiennete,21,0
animaux,21,59
fortnite,21,2267
chat,22,64
chiennete,22,0
animaux,22,80
fortnite,22,2993
chat,23,77
chiennete,23,0
animaux,23,89
fortnite,23,3089
chat,24,89
chiennete,24,0
animaux,24,74
fortnite,24,2734
chat,25,92
chiennete,25,0
animaux,25,58
fortnite,25,1500
chat,26,77
chiennete,26,0
animaux,26,59
fortnite,26,1666
chat,27,70
chiennete,27,0
animaux,27,56
fortnite,27,2014
chat,28,92
chiennete,28,0
animaux,28,60
fortnite,28,1356
chat,29,86
chiennete,29,0
animaux,29,68
fortnite,29,1910
chat,30,63
chiennete,30,0
animaux,30,65
fortnite,30,2974
chat,31,70
chiennete,31,0
animaux,31,70
fortnite,31,2588
chat,32,87
chiennete,32,0
animaux,32,58
fortnite,32,1859
chat,33,82
chiennete,33,0
animaux,33,55
fortnite,33,1963
chat,34,69
chiennete,34,0
animaux,34,60
fortnite,34,3365
chat,35,68
chiennete,35,0
animaux,35,53
fortnite,35,3451
chat,36,108
chiennete,36,0
animaux,36,58
fortnite,36,2523
chat,37,170
chiennete,37,0
animaux,37,69
fortnite,37,3550
chat,38,197
chiennete,38,0
animaux,38,66
fortnite,38,4164
chat,39,204
chiennete,39,0
animaux,39,65
fortnite,39,4426
chat,40,179
chiennete,40,0
animaux,40,73
fortnite,40,4509
chat,41,158
chiennete,41,0
animaux,41,81
fortnite,41,4357
chat,42,162
chiennete,42,0
animaux,42,82
fortnite,42,4615
chat,43,164
chiennete,43,0
animaux,43,80
fortnite,43,4328
chat,44,173
chiennete,44,0
animaux,44,82
fortnite,44,3498
chat,45,207
chiennete,45,0
animaux,45,108
fortnite,45,3034
chat,46,211
chiennete,46,0
animaux,46,121
fortnite,46,2783
chat,47,186
chiennete,47,0
animaux,47,123
fortnite,47,2837
chat,48,178
chiennete,48,0
animaux,48,165
fortnite,48,2875
chat,49,193
chiennete,49,0
animaux,49,162
fortnite,49,2339
chat,50,220
chiennete,50,0
animaux,50,131
fortnite,50,2298
chat,51,182
chiennete,51,0
animaux,51,146
fortnite,51,1527
chat,52,149
chiennete,52,0
animaux,52,113
fortnite,52,2699
chat,53,191
chiennete,53,0
animaux,53,88
fortnite,53,5100
chat,54,160
chiennete,54,0
animaux,54,119
fortnite,54,3775
chat,55,90
chiennete,55,0
animaux,55,109
fortnite,55,2098
chat,56,92
chiennete,56,0
animaux,56,88
fortnite,56,1689
chat,57,96
chiennete,57,0
animaux,57,83
fortnite,57,1818
chat,58,65
chiennete,58,0
animaux,58,67
fortnite,58,1536
chat,59,84
chiennete,59,0
animaux,59,57
fortnite,59,2288
chat,60,132
chiennete,60,0
animaux,60,77
fortnite,60,4030
chat,61,128
chiennete,61,4
animaux,61,88
fortnite,61,3675
chat,62,114
chiennete,62,19
animaux,62,77
fortnite,62,2824
chat,63,118
chiennete,63,32
animaux,63,76
fortnite,63,2655
chat,64,125
chiennete,64,37
animaux,64,81
fortnite,64,2988
chat,65,119
chiennete,65,41
animaux,65,76
fortnite,65,2879
chat,66,113
chiennete,66,43
animaux,66,82
fortnite,66,2422
chat,67,130
chiennete,67,50
animaux,67,88
fortnite,67,2367
chat,68,139
chiennete,68,65
animaux,68,92
fortnite,68,2371
chat,69,129
chiennete,69,74
animaux,69,86
fortnite,69,2869
chat,70,124
chiennete,70,87
animaux,70,84
fortnite,70,2635
chat,71,124
chiennete,71,95
animaux,71,79
fortnite,71,2062
chat,72,124
chiennete,72,67
animaux,72,65
fortnite,72,2538
chat,73,131
chiennete,73,30
animaux,73,67
fortnite,73,2735
chat,74,149
chiennete,74,7
animaux,74,63
fortnite,74,2970
chat,75,148
chiennete,75,30
animaux,75,61
fortnite,75,3847
chat,76,148
chiennete,76,74
animaux,76,67
fortnite,76,3627
chat,77,148
chiennete,77,116
animaux,77,61
fortnite,77,3054
chat,78,124
chiennete,78,146
animaux,78,55
fortnite,78,3631
chat,79,123
chiennete,79,171
animaux,79,61
fortnite,79,3470
chat,80,148
chiennete,80,180
animaux,80,60
fortnite,80,2757
chat,81,188
chiennete,81,142
animaux,81,70
fortnite,81,2292
