name,year,frequency
chat,1,46
chiennete,1,0
animaux,1,54
chat,2,75
chiennete,2,0
animaux,2,107
chat,3,65
chiennete,3,0
animaux,3,89
chat,4,39
chiennete,4,0
animaux,4,48
chat,5,41
chiennete,5,0
animaux,5,51
chat,6,62
chiennete,6,0
animaux,6,46
chat,7,85
chiennete,7,0
animaux,7,114
chat,8,99
chiennete,8,0
animaux,8,123
chat,9,86
chiennete,9,0
animaux,9,82
chat,10,50
chiennete,10,0
animaux,10,82
chat,11,54
chiennete,11,0
animaux,11,49
chat,12,84
chiennete,12,0
animaux,12,44
chat,13,84
chiennete,13,0
animaux,13,53
chat,14,58
chiennete,14,0
animaux,14,61
chat,15,62
chiennete,15,0
animaux,15,74
chat,16,85
chiennete,16,0
animaux,16,67
chat,17,69
chiennete,17,0
animaux,17,61
chat,18,56
chiennete,18,0
animaux,18,76
chat,19,72
chiennete,19,0
animaux,19,84
chat,20,70
chiennete,20,0
animaux,20,71
chat,21,57
chiennete,21,0
animaux,21,59
chat,22,64
chiennete,22,0
animaux,22,80
chat,23,77
chiennete,23,0
animaux,23,89
chat,24,89
chiennete,24,0
animaux,24,74
chat,25,92
chiennete,25,0
animaux,25,58
chat,26,77
chiennete,26,0
animaux,26,59
chat,27,70
chiennete,27,0
animaux,27,56
chat,28,92
chiennete,28,0
animaux,28,60
chat,29,86
chiennete,29,0
animaux,29,68
chat,30,63
chiennete,30,0
animaux,30,65
chat,31,70
chiennete,31,0
animaux,31,70
chat,32,87
chiennete,32,0
animaux,32,58
chat,33,82
chiennete,33,0
animaux,33,55
chat,34,69
chiennete,34,0
animaux,34,60
chat,35,68
chiennete,35,0
animaux,35,53
chat,36,108
chiennete,36,0
animaux,36,58
chat,37,170
chiennete,37,0
animaux,37,69
chat,38,197
chiennete,38,0
animaux,38,66
chat,39,204
chiennete,39,0
animaux,39,65
chat,40,179
chiennete,40,0
animaux,40,73
chat,41,158
chiennete,41,0
animaux,41,81
chat,42,162
chiennete,42,0
animaux,42,82
chat,43,164
chiennete,43,0
animaux,43,80
chat,44,173
chiennete,44,0
animaux,44,82
chat,45,207
chiennete,45,0
animaux,45,108
chat,46,211
chiennete,46,0
animaux,46,121
chat,47,186
chiennete,47,0
animaux,47,123
chat,48,178
chiennete,48,0
animaux,48,165
chat,49,193
chiennete,49,0
animaux,49,162
chat,50,220
chiennete,50,0
animaux,50,131
chat,51,182
chiennete,51,0
animaux,51,146
chat,52,149
chiennete,52,0
animaux,52,113
chat,53,191
chiennete,53,0
animaux,53,88
chat,54,160
chiennete,54,0
animaux,54,119
chat,55,90
chiennete,55,0
animaux,55,109
chat,56,92
chiennete,56,0
animaux,56,88
chat,57,96
chiennete,57,0
animaux,57,83
chat,58,65
chiennete,58,0
animaux,58,67
chat,59,84
chiennete,59,0
animaux,59,57
chat,60,132
chiennete,60,0
animaux,60,77
chat,61,128
chiennete,61,4
animaux,61,88
chat,62,114
chiennete,62,19
animaux,62,77
chat,63,118
chiennete,63,32
animaux,63,76
chat,64,125
chiennete,64,37
animaux,64,81
chat,65,119
chiennete,65,41
animaux,65,76
chat,66,113
chiennete,66,43
animaux,66,82
chat,67,130
chiennete,67,50
animaux,67,88
chat,68,139
chiennete,68,65
animaux,68,92
chat,69,129
chiennete,69,74
animaux,69,86
chat,70,124
chiennete,70,87
animaux,70,84
chat,71,124
chiennete,71,95
animaux,71,79
chat,72,124
chiennete,72,67
animaux,72,65
chat,73,131
chiennete,73,30
animaux,73,67
chat,74,149
chiennete,74,7
animaux,74,63
chat,75,148
chiennete,75,30
animaux,75,61
chat,76,148
chiennete,76,74
animaux,76,67
chat,77,148
chiennete,77,116
animaux,77,61
chat,78,124
chiennete,78,146
animaux,78,55
chat,79,123
chiennete,79,171
animaux,79,61
chat,80,148
chiennete,80,180
animaux,80,60
chat,81,188
chiennete,81,142
animaux,81,70
