name,year,frequency
voiture,1,176
auto,1,37
dakar,1,65
electrique,1,63
moto,1,116
voiture,2,220
auto,2,74
dakar,2,26
electrique,2,37
moto,2,114
voiture,3,267
auto,3,94
dakar,3,29
electrique,3,36
moto,3,76
voiture,4,215
auto,4,60
dakar,4,31
electrique,4,32
moto,4,51
voiture,5,204
auto,5,40
dakar,5,27
electrique,5,94
moto,5,62
voiture,6,296
auto,6,47
dakar,6,40
electrique,6,110
moto,6,94
voiture,7,311
auto,7,51
dakar,7,69
electrique,7,71
moto,7,109
voiture,8,254
auto,8,38
dakar,8,58
electrique,8,65
moto,8,108
voiture,9,214
auto,9,43
dakar,9,29
electrique,9,54
moto,9,113
voiture,10,240
auto,10,47
dakar,10,22
electrique,10,51
moto,10,128
voiture,11,311
auto,11,39
dakar,11,22
electrique,11,76
moto,11,125
voiture,12,299
auto,12,64
dakar,12,26
electrique,12,93
moto,12,86
voiture,13,354
auto,13,89
dakar,13,24
electrique,13,64
moto,13,68
voiture,14,381
auto,14,120
dakar,14,18
electrique,14,51
moto,14,111
voiture,15,255
auto,15,86
dakar,15,17
electrique,15,70
moto,15,131
voiture,16,217
auto,16,26
dakar,16,20
electrique,16,75
moto,16,81
voiture,17,207
auto,17,37
dakar,17,17
electrique,17,80
moto,17,66
voiture,18,189
auto,18,41
dakar,18,16
electrique,18,95
moto,18,70
voiture,19,202
auto,19,30
dakar,19,22
electrique,19,82
moto,19,59
voiture,20,186
auto,20,26
dakar,20,17
electrique,20,84
moto,20,63
voiture,21,182
auto,21,37
dakar,21,11
electrique,21,81
moto,21,62
voiture,22,207
auto,22,34
dakar,22,24
electrique,22,80
moto,22,71
voiture,23,207
auto,23,40
dakar,23,20
electrique,23,86
moto,23,73
voiture,24,192
auto,24,55
dakar,24,11
electrique,24,58
moto,24,59
voiture,25,180
auto,25,52
dakar,25,12
electrique,25,57
moto,25,55
voiture,26,210
auto,26,324
dakar,26,18
electrique,26,61
moto,26,52
voiture,27,249
auto,27,320
dakar,27,35
electrique,27,37
moto,27,42
voiture,28,221
auto,28,39
dakar,28,35
electrique,28,52
moto,28,50
voiture,29,199
auto,29,35
dakar,29,19
electrique,29,82
moto,29,45
voiture,30,211
auto,30,37
dakar,30,13
electrique,30,76
moto,30,31
voiture,31,191
auto,31,47
dakar,31,59
electrique,31,78
moto,31,32
voiture,32,177
auto,32,59
dakar,32,63
electrique,32,100
moto,32,37
voiture,33,200
auto,33,65
dakar,33,20
