name,value,year,lastValue,rank
boutique,3.532749984775309,1,3.532749984775309,1
coaching,1.353377758986447,1,1.353377758986447,2
beauty,0.6709217464606833,1,0.6709217464606833,3
newsletter,0.5058358257669258,1,0.5058358257669258,4
nutrition,0.33697511961514814,1,0.33697511961514814,5
meditation,0.2734946274886552,1,0.2734946274886552,6
astuce,0.19491836863498074,1,0.19491836863498074,7
horoscope,0.09348139782922392,1,0.09348139782922392,8
gossip'afrique,0.0,1,0.0,9
boutique,4.027026051205493,2,3.532749984775309,1
coaching,1.316980338381162,2,1.353377758986447,2
newsletter,0.8357326420832765,2,0.5058358257669258,3
beauty,0.7713882474310001,2,0.6709217464606833,4
nutrition,0.4296884761911024,2,0.33697511961514814,5
astuce,0.36727718833187584,2,0.19491836863498074,6
meditation,0.31675617206698,2,0.2734946274886552,7
horoscope,0.22873537046921483,2,0.09348139782922392,8
gossip'afrique,0.0,2,0.0,9
boutique,4.783868634976652,3,4.027026051205493,1
coaching,1.566351853676821,3,1.316980338381162,2
newsletter,0.8865773073498602,3,0.8357326420832765,3
beauty,0.5753020790207348,3,0.7713882474310001,4
nutrition,0.5018360055818429,3,0.4296884761911024,5
astuce,0.3384460695383147,3,0.36727718833187584,6
meditation,0.2749407571041184,3,0.31675617206698,7
horoscope,0.18443943629913878,3,0.22873537046921483,8
gossip'afrique,0.0,3,0.0,9
boutique,4.717087646691112,4,4.783868634976652,1
coaching,1.233689020422385,4,1.566351853676821,2
newsletter,0.7860485944222347,4,0.8865773073498602,3
nutrition,0.4000097940844907,4,0.5018360055818429,4
astuce,0.321226565124303,4,0.3384460695383147,5
horoscope,0.31740178119038776,4,0.18443943629913878,6
meditation,0.29365997385528797,4,0.2749407571041184,7
beauty,0.23384559793567994,4,0.5753020790207348,8
gossip'afrique,0.0,4,0.0,9
boutique,4.556292330378321,5,4.717087646691112,1
coaching,1.0154516197106647,5,1.233689020422385,2
newsletter,0.6974938105492465,5,0.7860485944222347,3
beauty,0.5451721854717658,5,0.23384559793567994,4
horoscope,0.4397476658617389,5,0.31740178119038776,5
