name,year,frequency
horoscope,1,9
nutrition,1,33
beauty,1,67
astuce,1,19
newsletter,1,50
boutique,1,353
meditation,1,27
gossip'afrique,1,0
coaching,1,135
horoscope,2,22
nutrition,2,42
beauty,2,77
astuce,2,36
newsletter,2,83
boutique,2,402
meditation,2,31
gossip'afrique,2,0
coaching,2,131
horoscope,3,18
nutrition,3,50
beauty,3,57
astuce,3,33
newsletter,3,88
boutique,3,478
meditation,3,27
gossip'afrique,3,0
coaching,3,156
horoscope,4,31
nutrition,4,40
beauty,4,23
astuce,4,32
newsletter,4,78
boutique,4,471
meditation,4,29
gossip'afrique,4,0
coaching,4,123
horoscope,5,43
nutrition,5,40
beauty,5,54
astuce,5,24
newsletter,5,69
boutique,5,455
meditation,5,18
gossip'afrique,5,0
coaching,5,101
horoscope,6,22
nutrition,6,53
beauty,6,73
astuce,6,21
newsletter,6,77
boutique,6,480
meditation,6,48
gossip'afrique,6,0
coaching,6,131
horoscope,7,7
nutrition,7,58
beauty,7,58
astuce,7,39
newsletter,7,72
boutique,7,535
meditation,7,67
gossip'afrique,7,0
coaching,7,132
horoscope,8,5
nutrition,8,61
beauty,8,50
astuce,8,48
newsletter,8,76
boutique,8,645
meditation,8,42
gossip'afrique,8,0
coaching,8,136
horoscope,9,3
nutrition,9,61
beauty,9,53
astuce,9,55
newsletter,9,86
boutique,9,595
meditation,9,38
gossip'afrique,9,0
coaching,9,131
horoscope,10,7
nutrition,10,59
beauty,10,59
astuce,10,61
newsletter,10,74
boutique,10,603
meditation,10,33
gossip'afrique,10,1
coaching,10,113
horoscope,11,8
nutrition,11,61
beauty,11,44
astuce,11,44
newsletter,11,73
boutique,11,665
meditation,11,21
gossip'afrique,11,1
coaching,11,118
horoscope,12,5
nutrition,12,53
beauty,12,38
astuce,12,53
newsletter,12,69
boutique,12,579
meditation,12,30
gossip'afrique,12,0
coaching,12,105
horoscope,13,24
nutrition,13,51
beauty,13,43
astuce,13,76
newsletter,13,70
boutique,13,535
meditation,13,29
gossip'afrique,13,1
coaching,13,107
horoscope,14,33
nutrition,14,53
beauty,14,48
astuce,14,84
newsletter,14,75
boutique,14,521
meditation,14,20
gossip'afrique,14,1
coaching,14,109
horoscope,15,26
nutrition,15,54
beauty,15,67
