name,year,frequency
bras,1,187
twitter,1,5413
bras,2,152
twitter,2,5516
bras,3,140
twitter,3,5343
bras,4,150
twitter,4,5233
bras,5,144
twitter,5,5315
bras,6,138
twitter,6,5124
bras,7,122
twitter,7,4768
bras,8,129
twitter,8,4722
bras,9,140
twitter,9,4826
bras,10,152
twitter,10,4975
bras,11,153
twitter,11,5112
bras,12,156
twitter,12,5219
bras,13,201
twitter,13,5207
bras,14,218
twitter,14,5117
bras,15,204
twitter,15,5046
bras,16,190
twitter,16,5059
bras,17,176
twitter,17,5114
bras,18,179
twitter,18,5279
bras,19,185
twitter,19,5245
bras,20,172
twitter,20,5177
bras,21,136
twitter,21,5120
bras,22,124
twitter,22,5004
bras,23,150
twitter,23,5059
bras,24,151
twitter,24,4970
bras,25,161
twitter,25,4678
bras,26,162
twitter,26,4297
bras,27,113
twitter,27,4385
bras,28,83
twitter,28,4462
bras,29,88
twitter,29,4217
bras,30,99
twitter,30,4062
bras,31,83
twitter,31,3812
bras,32,80
twitter,32,3759
bras,33,77
twitter,33,3798
bras,34,72
twitter,34,3670
bras,35,82
twitter,35,3559
bras,36,73
twitter,36,3458
bras,37,63
twitter,37,3351
bras,38,62
twitter,38,3344
bras,39,62
twitter,39,3322
bras,40,62
twitter,40,3296
bras,41,61
twitter,41,3319
bras,42,57
twitter,42,3200
bras,43,58
twitter,43,3214
bras,44,59
twitter,44,3425
bras,45,54
twitter,45,3503
bras,46,55
twitter,46,3529
bras,47,60
twitter,47,3525
bras,48,57
twitter,48,3452
bras,49,54
twitter,49,3416
bras,50,55
twitter,50,3416
bras,51,88
twitter,51,3913
bras,52,89
twitter,52,4125
bras,53,58
twitter,53,4133
bras,54,67
twitter,54,4739
bras,55,77
twitter,55,4694
bras,56,79
twitter,56,4420
bras,57,75
twitter,57,4285
bras,58,86
twitter,58,3987
bras,59,80
twitter,59,3746
bras,60,57
twitter,60,3383
bras,61,63
twitter,61,3162
bras,62,61
twitter,62,3046
bras,63,54
twitter,63,2949
bras,64,52
twitter,64,2942
bras,65,44
twitter,65,2826
bras,66,39
twitter,66,2752
bras,67,44
twitter,67,2755
bras,68,43
twitter,68,2694
bras,69,38
twitter,69,2660
bras,70,42
twitter,70,2729
bras,71,47
twitter,71,2840
bras,72,47
twitter,72,2897
bras,73,47
twitter,73,2923
bras,74,46
twitter,74,2942
bras,75,46
twitter,75,2991
bras,76,45
twitter,76,3065
bras,77,43
twitter,77,3055
bras,78,40
twitter,78,2839
bras,79,37
twitter,79,2695
bras,80,44
twitter,80,2762
bras,81,53
twitter,81,2878
