name,value,year,lastValue,rank
madrid,1.6881403205627028,1,1.6881403205627028,1
marseille,1.3144301494030344,1,1.3144301494030344,2
om,1.1356048106772803,1,1.1356048106772803,3
manchester,0.8970430421735198,1,0.8970430421735198,4
barca,0.8842746827056462,1,0.8842746827056462,5
chelsea,0.7049435755239271,1,0.7049435755239271,6
psg,0.6975696451498645,1,0.6975696451498645,7
monaco,0.6043124144004905,1,0.6043124144004905,8
bayern,0.536271333465211,1,0.536271333465211,9
liverpool,0.24865828267567697,1,0.24865828267567697,10
barca,1.1196651243905946,2,0.8842746827056462,1
marseille,1.1099129594487103,2,1.3144301494030344,2
madrid,1.071143189289634,2,1.6881403205627028,3
om,0.8724938831433711,2,1.1356048106772803,4
monaco,0.8244549411529379,2,0.6043124144004905,5
psg,0.7739377725382324,2,0.6975696451498645,6
manchester,0.6248903273468743,2,0.8970430421735198,7
bayern,0.4738975253537462,2,0.536271333465211,8
chelsea,0.37328990219209196,2,0.7049435755239271,9
liverpool,0.17488773938102034,2,0.24865828267567697,10
madrid,1.0557016686842862,3,1.071143189289634,1
barca,1.0321036687992498,3,1.1196651243905946,2
psg,0.8033693237640922,3,0.7739377725382324,3
marseille,0.7617397379586258,3,1.1099129594487103,4
manchester,0.7254332645523971,3,0.6248903273468743,5
om,0.6689870588598793,3,0.8724938831433711,6
monaco,0.5958949416620428,3,0.8244549411529379,7
bayern,0.41295282940052735,3,0.4738975253537462,8
liverpool,0.3251683065540707,3,0.17488773938102034,9
chelsea,0.1045713635265585,3,0.37328990219209196,10
psg,1.7227248578051626,4,0.8033693237640922,1
madrid,1.2196315723747382,4,1.0557016686842862,2
barca,1.140138631346125,4,1.0321036687992498,3
marseille,1.0200200208668981,4,0.7617397379586258,4
manchester,0.7588096254437328,4,0.7254332645523971,5
om,0.7486838734686954,4,0.6689870588598793,6
liverpool,0.5587433175527073,4,0.3251683065540707,7
bayern,0.46162114456385284,4,0.41295282940052735,8
monaco,0.36135424906192115,4,0.5958949416620428,9
chelsea,0.22026249898042025,4,0.1045713635265585,10
manchester,2.866194034220519,5,0.7588096254437328,1
psg,2.5978415856121373,5,1.7227248578051626,2
madrid,1.3370884879849796,5,1.2196315723747382,3
barca,0.9268694725396383,5,1.140138631346125,4
marseille,0.8909979873771436,5,1.0200200208668981,5
om,0.721598791574027,5,0.7486838734686954,6
liverpool,0.5335769684185789,5,0.5587433175527073,7
bayern,0.4208983397629643,5,0.46162114456385284,8
monaco,0.35069403390469384,5,0.36135424906192115,9
chelsea,0.34949129209097596,5,0.22026249898042025,10
manchester,2.67578518807694,6,2.866194034220519,1
psg,1.561496574480329,6,2.5978415856121373,2
madrid,0.9950456765305529,6,1.3370884879849796,3
barca,0.8169879738740238,6,0.9268694725396383,4
