name,year,frequency
marseille,1,131
liverpool,1,24
barca,1,88
psg,1,69
chelsea,1,70
madrid,1,168
manchester,1,89
monaco,1,60
om,1,113
bayern,1,53
marseille,2,110
liverpool,2,17
barca,2,111
psg,2,77
chelsea,2,37
madrid,2,107
manchester,2,62
monaco,2,82
om,2,87
bayern,2,47
marseille,3,76
liverpool,3,32
barca,3,103
psg,3,80
chelsea,3,10
madrid,3,105
manchester,3,72
monaco,3,59
om,3,66
bayern,3,41
marseille,4,102
liverpool,4,55
barca,4,114
psg,4,172
chelsea,4,22
madrid,4,121
manchester,4,75
monaco,4,36
om,4,74
bayern,4,46
marseille,5,89
liverpool,5,53
barca,5,92
psg,5,259
chelsea,5,34
madrid,5,133
manchester,5,286
monaco,5,35
om,5,72
bayern,5,42
marseille,6,63
liverpool,6,25
barca,6,81
psg,6,156
chelsea,6,33
madrid,6,99
manchester,6,267
monaco,6,27
om,6,73
bayern,6,20
marseille,7,89
liverpool,7,27
barca,7,84
psg,7,57
chelsea,7,39
madrid,7,78
manchester,7,43
monaco,7,27
om,7,65
bayern,7,9
marseille,8,80
liverpool,8,21
barca,8,51
psg,8,70
chelsea,8,40
madrid,8,94
manchester,8,24
monaco,8,27
om,8,47
bayern,8,7
marseille,9,56
liverpool,9,5
barca,9,62
psg,9,63
chelsea,9,31
madrid,9,89
manchester,9,14
monaco,9,12
om,9,41
bayern,9,11
marseille,10,57
liverpool,10,11
barca,10,74
psg,10,48
chelsea,10,41
madrid,10,65
manchester,10,20
monaco,10,20
om,10,52
bayern,10,108
marseille,11,65
liverpool,11,13
barca,11,81
psg,11,60
chelsea,11,89
madrid,11,59
manchester,11,22
monaco,11,34
om,11,74
bayern,11,135
marseille,12,64
liverpool,12,14
barca,12,95
psg,12,76
chelsea,12,95
madrid,12,88
manchester,12,54
monaco,12,28
om,12,67
bayern,12,57
marseille,13,110
liverpool,13,41
barca,13,113
psg,13,93
chelsea,13,53
madrid,13,145
manchester,13,82
monaco,13,28
om,13,63
bayern,13,69
marseille,14,151
liverpool,14,40
barca,14,131
psg,14,106
chelsea,14,44
madrid,14,175
manchester,14,75
monaco,14,40
om,14,88
bayern,14,67
marseille,15,121
liverpool,15,22
barca,15,110
psg,15,121
chelsea,15,66
madrid,15,141
manchester,15,71
monaco,15,40
om,15,105
bayern,15,49
marseille,16,118
liverpool,16,36
barca,16,168
psg,16,210
chelsea,16,68
madrid,16,129
manchester,16,137
monaco,16,58
om,16,77
bayern,16,136
marseille,17,121
liverpool,17,41
barca,17,188
psg,17,399
chelsea,17,60
madrid,17,111
manchester,17,156
monaco,17,75
om,17,47
bayern,17,323
marseille,18,111
liverpool,18,38
barca,18,124
psg,18,300
chelsea,18,84
madrid,18,76
manchester,18,92
monaco,18,81
om,18,57
bayern,18,227
marseille,19,161
liverpool,19,34
barca,19,104
psg,19,105
chelsea,19,116
madrid,19,137
manchester,19,70
monaco,19,78
om,19,71
bayern,19,46
marseille,20,185
liverpool,20,38
barca,20,98
psg,20,110
chelsea,20,100
madrid,20,156
manchester,20,92
monaco,20,44
om,20,66
bayern,20,65
marseille,21,126
liverpool,21,42
barca,21,98
psg,21,113
chelsea,21,75
madrid,21,148
manchester,21,134
monaco,21,29
om,21,45
bayern,21,55
marseille,22,84
liverpool,22,39
barca,22,74
psg,22,115
chelsea,22,46
madrid,22,188
manchester,22,116
monaco,22,33
om,22,43
bayern,22,47
marseille,23,66
liverpool,23,34
barca,23,69
psg,23,83
chelsea,23,25
madrid,23,151
manchester,23,68
monaco,23,42
om,23,42
bayern,23,39
marseille,24,82
liverpool,24,19
barca,24,86
psg,24,98
chelsea,24,51
madrid,24,107
manchester,24,72
monaco,24,51
om,24,27
bayern,24,29
marseille,25,97
liverpool,25,44
barca,25,83
psg,25,170
chelsea,25,78
madrid,25,148
manchester,25,72
monaco,25,43
om,25,23
bayern,25,26
marseille,26,89
liverpool,26,56
barca,26,73
psg,26,173
chelsea,26,66
madrid,26,148
manchester,26,66
monaco,26,24
om,26,44
bayern,26,24
marseille,27,124
liverpool,27,36
