name,value,year,lastValue,rank
cuisine*600,2.3869285989622626,1,2.3869285989622626,1
covid-19,0.0,1,0.0,2
cuisine*600,1.3429932284983108,2,2.3869285989622626,1
covid-19,0.0,2,0.0,2
cuisine*600,3.1934591842629914,3,1.3429932284983108,1
covid-19,0.08885592781904687,3,0.0,2
cuisine*600,3.363280979199783,4,3.1934591842629914,1
covid-19,0.6136070269565789,4,0.08885592781904687,2
cuisine*600,2.4797200509851507,5,3.363280979199783,1
covid-19,1.699265864665585,5,0.6136070269565789,2
covid-19,7.379753204405849,6,1.699265864665585,1
cuisine*600,5.138548338910744,6,2.4797200509851507,2
covid-19,12.424693034085504,7,7.379753204405849,1
cuisine*600,8.351447186218493,7,5.138548338910744,2
covid-19,11.490970165146228,8,12.424693034085504,1
cuisine*600,10.622249076055663,8,8.351447186218493,2
cuisine*600,12.424693034085504,9,10.622249076055663,1
covid-19,9.472454635004716,9,11.490970165146228,2
cuisine*600,8.629352088061589,10,12.424693034085504,1
covid-19,8.485559881273652,10,9.472454635004716,2
covid-19,7.047399578450154,11,8.485559881273652,1
cuisine*600,5.654501533132926,11,8.629352088061589,2
cuisine*600,5.5076266104272324,12,5.654501533132926,1
covid-19,5.037606263260876,12,7.047399578450154,2
covid-19,4.74729157522548,13,5.037606263260876,1
cuisine*600,3.659201614522924,13,5.5076266104272324,2
covid-19,4.889536962680456,14,4.74729157522548,1
cuisine*600,3.6132694154176472,14,3.659201614522924,2
covid-19,4.698203477227486,15,4.889536962680456,1
cuisine*600,4.486411214475853,15,3.6132694154176472,2
cuisine*600,4.480346735170689,16,4.486411214475853,1
covid-19,3.3398931650416577,16,4.698203477227486,2
cuisine*600,7.023862709436627,17,4.480346735170689,1
covid-19,2.516403655202814,17,3.3398931650416577,2
cuisine*600,8.805064946293813,18,7.023862709436627,1
covid-19,3.136307516311024,18,2.516403655202814,2
cuisine*600,7.63023488385965,19,8.805064946293813,1
covid-19,3.87790899474513,19,3.136307516311024,2
cuisine*600,6.860873061702438,20,7.63023488385965,1
covid-19,4.168378603623591,20,3.87790899474513,2
cuisine*600,7.338793033290505,21,6.860873061702438,1
covid-19,3.8876060505321526,21,4.168378603623591,2
cuisine*600,7.0035443419453225,22,7.338793033290505,1
covid-19,3.3498914395390074,22,3.8876060505321526,2
cuisine*600,7.276457581613542,23,7.0035443419453225,1
covid-19,3.4748478004457826,23,3.3498914395390074,2
cuisine*600,6.943581402722403,24,7.276457581613542,1
covid-19,3.9549986888633106,24,3.4748478004457826,2
cuisine*600,6.978788518509481,25,6.943581402722403,1
covid-19,3.4076489906186156,25,3.9549986888633106,2
cuisine*600,7.4332934546864395,26,6.978788518509481,1
covid-19,3.701758845454109,26,3.4076489906186156,2
cuisine*600,5.494326268755151,27,7.4332934546864395,1
covid-19,4.167017384467213,27,3.701758845454109,2
cuisine*600,4.936130859783952,28,5.494326268755151,1
covid-19,4.072276660318944,28,4.167017384467213,2
cuisine*600,3.8425488150631932,29,4.936130859783952,1
covid-19,3.3371189989806638,29,4.072276660318944,2
cuisine*600,2.7163105928875195,30,3.8425488150631932,1
covid-19,2.550381995411052,30,3.3371189989806638,2
cuisine*600,3.3127905751364475,31,2.7163105928875195,1
covid-19,2.5059049627301997,31,2.550381995411052,2
cuisine*600,3.6154293843840626,32,3.3127905751364475,1
covid-19,2.2848018704388604,32,2.5059049627301997,2
cuisine*600,3.3190931863582502,33,3.6154293843840626,1
covid-19,2.285687087151903,33,2.2848018704388604,2
cuisine*600,2.920276157742872,34,3.3190931863582502,1
covid-19,2.2513470074294024,34,2.285687087151903,2
cuisine*600,3.4129345147711985,35,2.920276157742872,1
covid-19,1.8374279275702934,35,2.2513470074294024,2
cuisine*600,4.205832160200033,36,3.4129345147711985,1
covid-19,1.1825792645863868,36,1.8374279275702934,2
cuisine*600,3.2584096784161507,37,4.205832160200033,1
covid-19,0.7363858800767328,37,1.1825792645863868,2
cuisine*600,2.767504211492287,38,3.2584096784161507,1
covid-19,0.5734050191862401,38,0.7363858800767328,2
cuisine*600,3.37393956503826,39,2.767504211492287,1
covid-19,0.5277539609830408,39,0.5734050191862401,2
cuisine*600,4.424107643913098,40,3.37393956503826,1
covid-19,0.684844512106274,40,0.5277539609830408,2
cuisine*600,3.834291754405821,41,4.424107643913098,1
covid-19,0.9368905616504811,41,0.684844512106274,2
cuisine*600,1.83924315190316,42,3.834291754405821,1
covid-19,1.0081377016834077,42,0.9368905616504811,2
cuisine*600,1.2477675597522369,43,1.83924315190316,1
covid-19,0.9028248437454268,43,1.0081377016834077,2
cuisine*600,3.0677409495524253,44,1.2477675597522369,1
covid-19,0.8108710260646423,44,0.9028248437454268,2
cuisine*600,2.990158047103616,45,3.0677409495524253,1
covid-19,0.7827777072476465,45,0.8108710260646423,2
cuisine*600,2.5414721452672153,46,2.990158047103616,1
covid-19,0.7748001363546348,46,0.7827777072476465,2
cuisine*600,3.233193718569925,47,2.5414721452672153,1
covid-19,0.6965439168837523,47,0.7748001363546348,2
cuisine*600,2.2521416596358095,48,3.233193718569925,1
covid-19,0.6052729570528582,48,0.6965439168837523,2
cuisine*600,0.9768461398828496,49,2.2521416596358095,1
covid-19,0.6829110909029577,49,0.6052729570528582,2
cuisine*600,1.0638381252480449,50,0.9768461398828496,1
covid-19,0.8509915412305383,50,0.6829110909029577,2
cuisine*600,4.739316764296424,51,1.0638381252480449,1
covid-19,0.8333573466706683,51,0.8509915412305383,2
cuisine*600,4.644752503117393,52,4.739316764296424,1
covid-19,1.055958993355038,52,0.8333573466706683,2
cuisine*600,1.504502023733798,53,4.644752503117393,1
covid-19,1.5018906695506056,53,1.055958993355038,2
cuisine*600,3.712265769249296,54,1.504502023733798,1
covid-19,1.6581220185667553,54,1.5018906695506056,2
cuisine*600,4.209680801315752,55,3.712265769249296,1
covid-19,1.3030946741704126,55,1.6581220185667553,2
cuisine*600,2.6176719932765042,56,4.209680801315752,1
covid-19,0.7122301733149969,56,1.3030946741704126,2
cuisine*600,2.7493150396669788,57,2.6176719932765042,1
covid-19,0.3994762788117202,57,0.7122301733149969,2
cuisine*600,2.8901831042206303,58,2.7493150396669788,1
covid-19,0.26457269512678816,58,0.3994762788117202,2
cuisine*600,2.713696569107493,59,2.8901831042206303,1
covid-19,0.29282811419615973,59,0.26457269512678816,2
cuisine*600,2.090101874667227,60,2.713696569107493,1
covid-19,0.27855452718275553,60,0.29282811419615973,2
cuisine*600,1.5594492259036874,61,2.090101874667227,1
covid-19,0.15358520292706193,61,0.27855452718275553,2
cuisine*600,1.384477603216942,62,1.5594492259036874,1
covid-19,0.1561322972525726,62,0.15358520292706193,2
cuisine*600,0.9532076495146019,63,1.384477603216942,1
covid-19,0.18048044125968915,63,0.1561322972525726,2
cuisine*600,0.48711820204768036,64,0.9532076495146019,1
covid-19,0.16530721744327614,64,0.18048044125968915,2
cuisine*600,0.48565548423461824,65,0.48711820204768036,1
covid-19,0.14997850708665533,65,0.16530721744327614,2
cuisine*600,0.7768478359693958,66,0.48565548423461824,1
covid-19,0.17075334764636546,66,0.14997850708665533,2
cuisine*600,1.4039647737126895,67,0.7768478359693958,1
covid-19,0.15730934149564493,67,0.17075334764636546,2
cuisine*600,1.8679187448498726,68,1.4039647737126895,1
covid-19,0.09542460934674603,68,0.15730934149564493,2
cuisine*600,1.3771157532392195,69,1.8679187448498726,1
covid-19,0.09641030279413167,69,0.09542460934674603,2
cuisine*600,1.293566979476756,70,1.3771157532392195,1
covid-19,0.082504146491323,70,0.09641030279413167,2
cuisine*600,2.098387467111919,71,1.293566979476756,1
covid-19,0.07171065606854773,71,0.082504146491323,2
cuisine*600,3.6924073620409517,72,2.098387467111919,1
covid-19,0.08493203546959474,72,0.07171065606854773,2
cuisine*600,3.8353797622778445,73,3.6924073620409517,1
covid-19,0.10050731265870502,73,0.08493203546959474,2
cuisine*600,2.5326636388296744,74,3.8353797622778445,1
covid-19,0.11447551957815597,74,0.10050731265870502,2
cuisine*600,1.9048474645414566,75,2.5326636388296744,1
covid-19,0.10335095978686418,75,0.11447551957815597,2
cuisine*600,0.8602702018316419,76,1.9048474645414566,1
covid-19,0.1135089360893915,76,0.10335095978686418,2
cuisine*600,1.5255812682084218,77,0.8602702018316419,1
covid-19,0.12465503835835229,77,0.1135089360893915,2
cuisine*600,1.8221433220891985,78,1.5255812682084218,1
covid-19,0.203415545632646,78,0.12465503835835229,2
cuisine*600,0.5955254466276619,79,1.8221433220891985,1
covid-19,0.2259560557298621,79,0.203415545632646,2
covid-19,0.1381872853109389,80,0.2259560557298621,1
cuisine*600,0.0,80,0.5955254466276619,2
cuisine*600,0.2911978229519157,81,0.0,1
covid-19,0.08493308659358101,81,0.1381872853109389,2
