name,year,frequency
covid-19,1,0
cuisine*600,1,1033
covid-19,2,0
cuisine*600,2,928
covid-19,3,8
cuisine*600,3,1115
covid-19,4,61
cuisine*600,4,1132
covid-19,5,169
cuisine*600,5,1043
covid-19,6,737
cuisine*600,6,1312
covid-19,7,1242
cuisine*600,7,1637
covid-19,8,1149
cuisine*600,8,1867
covid-19,9,947
cuisine*600,9,2049
covid-19,10,848
cuisine*600,10,1665
covid-19,11,704
cuisine*600,11,1364
covid-19,12,503
cuisine*600,12,1349
covid-19,13,474
cuisine*600,13,1162
covid-19,14,488
cuisine*600,14,1157
covid-19,15,469
cuisine*600,15,1246
covid-19,16,333
cuisine*600,16,1245
covid-19,17,251
cuisine*600,17,1503
covid-19,18,313
cuisine*600,18,1683
covid-19,19,387
cuisine*600,19,1564
covid-19,20,416
cuisine*600,20,1486
covid-19,21,388
cuisine*600,21,1534
covid-19,22,334
cuisine*600,22,1501
covid-19,23,347
cuisine*600,23,1528
covid-19,24,395
cuisine*600,24,1494
covid-19,25,340
cuisine*600,25,1498
covid-19,26,370
cuisine*600,26,1544
covid-19,27,416
cuisine*600,27,1348
covid-19,28,407
cuisine*600,28,1291
covid-19,29,333
cuisine*600,29,1181
covid-19,30,255
cuisine*600,30,1067
covid-19,31,250
cuisine*600,31,1127
covid-19,32,228
cuisine*600,32,1158
covid-19,33,228
cuisine*600,33,1128
covid-19,34,225
cuisine*600,34,1087
covid-19,35,183
cuisine*600,35,1137
covid-19,36,118
cuisine*600,36,1217
covid-19,37,73
cuisine*600,37,1121
covid-19,38,57
cuisine*600,38,1072
covid-19,39,52
cuisine*600,39,1133
covid-19,40,68
cuisine*600,40,1239
covid-19,41,93
cuisine*600,41,1180
covid-19,42,100
cuisine*600,42,978
covid-19,43,90
cuisine*600,43,918
covid-19,44,81
cuisine*600,44,1102
covid-19,45,78
cuisine*600,45,1094
covid-19,46,77
cuisine*600,46,1049
covid-19,47,69
cuisine*600,47,1119
covid-19,48,60
cuisine*600,48,1020
covid-19,49,68
cuisine*600,49,891
covid-19,50,85
cuisine*600,50,899
covid-19,51,83
cuisine*600,51,1271
covid-19,52,105
cuisine*600,52,1262
covid-19,53,150
cuisine*600,53,944
covid-19,54,165
cuisine*600,54,1167
covid-19,55,130
cuisine*600,55,1218
covid-19,56,71
cuisine*600,56,1057
covid-19,57,39
cuisine*600,57,1070
covid-19,58,26
cuisine*600,58,1084
covid-19,59,29
cuisine*600,59,1066
covid-19,60,27
cuisine*600,60,1003
covid-19,61,15
cuisine*600,61,949
covid-19,62,15
cuisine*600,62,932
covid-19,63,18
cuisine*600,63,888
covid-19,64,16
cuisine*600,64,841
covid-19,65,14
cuisine*600,65,841
covid-19,66,17
cuisine*600,66,870
covid-19,67,15
cuisine*600,67,934
covid-19,68,9
cuisine*600,68,981
covid-19,69,9
cuisine*600,69,931
covid-19,70,8
cuisine*600,70,923
covid-19,71,7
cuisine*600,71,1004
covid-19,72,8
cuisine*600,72,1165
covid-19,73,10
cuisine*600,73,1180
covid-19,74,11
cuisine*600,74,1048
covid-19,75,10
cuisine*600,75,984
covid-19,76,11
cuisine*600,76,879
covid-19,77,12
cuisine*600,77,946
covid-19,78,20
cuisine*600,78,976
covid-19,79,22
cuisine*600,79,852
covid-19,80,13
cuisine*600,80,792
covid-19,81,8
cuisine*600,81,821
