name,year,frequency
cuisine,1,151
livre,1,331
camera,1,289
culture,1,220
theatre,1,77
podcast,1,43
comedie,1,8
cinema,1,205
lectures,1,4
magazine,1,48
cuisine,2,136
livre,2,416
camera,2,263
culture,2,243
theatre,2,55
podcast,2,88
comedie,2,22
cinema,2,227
lectures,2,7
magazine,2,44
cuisine,3,163
livre,3,397
camera,3,273
culture,3,220
theatre,3,44
podcast,3,108
comedie,3,16
cinema,3,236
lectures,3,13
magazine,3,58
cuisine,4,166
livre,4,341
camera,4,243
culture,4,205
theatre,4,42
podcast,4,113
comedie,4,17
cinema,4,239
lectures,4,13
magazine,4,78
cuisine,5,152
livre,5,306
camera,5,224
culture,5,250
theatre,5,25
podcast,5,131
comedie,5,17
cinema,5,235
lectures,5,9
magazine,5,73
cuisine,6,192
livre,6,394
camera,6,245
culture,6,244
theatre,6,13
podcast,6,154
comedie,6,18
cinema,6,183
lectures,6,11
magazine,6,62
cuisine,7,240
livre,7,430
camera,7,219
culture,7,159
theatre,7,7
podcast,7,159
comedie,7,53
cinema,7,172
lectures,7,11
magazine,7,71
cuisine,8,273
livre,8,371
camera,8,217
culture,8,162
theatre,8,13
podcast,8,157
comedie,8,76
cinema,8,189
lectures,8,16
magazine,8,72
cuisine,9,300
livre,9,416
camera,9,215
culture,9,212
theatre,9,17
podcast,9,158
comedie,9,77
cinema,9,199
lectures,9,21
magazine,9,72
cuisine,10,244
livre,10,438
camera,10,186
culture,10,211
theatre,10,21
podcast,10,135
comedie,10,73
cinema,10,200
lectures,10,12
magazine,10,63
cuisine,11,200
livre,11,436
camera,11,210
culture,11,185
theatre,11,27
podcast,11,118
comedie,11,90
cinema,11,214
lectures,11,7
magazine,11,46
cuisine,12,197
livre,12,463
camera,12,274
culture,12,181
theatre,12,30
podcast,12,138
comedie,12,99
cinema,12,221
lectures,12,12
magazine,12,46
cuisine,13,170
livre,13,451
camera,13,293
culture,13,190
theatre,13,27
podcast,13,145
comedie,13,82
cinema,13,225
lectures,13,11
magazine,13,52
cuisine,14,169
livre,14,449
camera,14,292
culture,14,232
theatre,14,23
podcast,14,124
comedie,14,108
cinema,14,245
lectures,14,20
magazine,14,62
cuisine,15,182
livre,15,501
camera,15,302
culture,15,246
theatre,15,23
podcast,15,116
comedie,15,155
cinema,15,289
lectures,15,20
magazine,15,65
cuisine,16,182
livre,16,443
camera,16,274
culture,16,195
theatre,16,33
podcast,16,121
comedie,16,173
cinema,16,313
lectures,16,12
magazine,16,53
cuisine,17,220
livre,17,351
camera,17,260
culture,17,150
theatre,17,41
podcast,17,110
comedie,17,190
cinema,17,312
lectures,17,12
magazine,17,61
cuisine,18,246
livre,18,417
camera,18,284
culture,18,167
theatre,18,35
podcast,18,100
comedie,18,215
cinema,18,374
lectures,18,13
magazine,18,68
cuisine,19,229
livre,19,489
camera,19,301
culture,19,170
theatre,19,29
podcast,19,109
comedie,19,228
cinema,19,369
lectures,19,10
magazine,19,60
cuisine,20,218
livre,20,519
camera,20,276
culture,20,154
theatre,20,31
podcast,20,123
comedie,20,246
cinema,20,367
lectures,20,6
magazine,20,62
cuisine,21,225
livre,21,517
camera,21,236
culture,21,148
theatre,21,42
podcast,21,121
comedie,21,281
cinema,21,427
lectures,21,9
magazine,21,52
cuisine,22,220
livre,22,501
camera,22,261
culture,22,135
theatre,22,41
podcast,22,113
comedie,22,310
cinema,22,417
lectures,22,12
magazine,22,47
cuisine,23,224
livre,23,542
camera,23,315
culture,23,159
theatre,23,40
podcast,23,135
comedie,23,381
cinema,23,416
lectures,23,18
magazine,23,46
cuisine,24,219
livre,24,525
camera,24,330
culture,24,161
theatre,24,41
podcast,24,188
comedie,24,409
cinema,24,397
lectures,24,18
magazine,24,63
cuisine,25,219
livre,25,512
camera,25,344
culture,25,183
theatre,25,48
podcast,25,189
comedie,25,388
cinema,25,390
lectures,25,13
magazine,25,79
cuisine,26,226
livre,26,535
camera,26,382
culture,26,188
theatre,26,42
podcast,26,161
comedie,26,408
cinema,26,430
lectures,26,17
magazine,26,66
cuisine,27,197
livre,27,502
camera,27,389
culture,27,165
theatre,27,26
podcast,27,166
comedie,27,404
cinema,27,422
lectures,27,22
magazine,27,54
cuisine,28,189
livre,28,527
camera,28,327
culture,28,177
theatre,28,28
podcast,28,176
comedie,28,385
cinema,28,389
lectures,28,100
magazine,28,41
cuisine,29,173
livre,29,570
camera,29,269
culture,29,158
