name,year,frequency
comedie,1,8
filme,1,80
film,1,168
cinema,1,205
acteurs,1,16
tournage,1,40
comedie,2,22
filme,2,80
film,2,259
cinema,2,227
acteurs,2,33
tournage,2,55
comedie,3,16
filme,3,93
film,3,313
cinema,3,236
acteurs,3,36
tournage,3,53
comedie,4,17
filme,4,102
film,4,330
cinema,4,239
acteurs,4,31
tournage,4,73
comedie,5,17
filme,5,105
film,5,294
cinema,5,235
acteurs,5,28
tournage,5,69
comedie,6,18
filme,6,114
film,6,235
cinema,6,183
acteurs,6,40
tournage,6,42
comedie,7,53
filme,7,124
film,7,260
cinema,7,172
acteurs,7,45
tournage,7,39
comedie,8,76
filme,8,109
film,8,295
cinema,8,189
acteurs,8,45
tournage,8,43
comedie,9,77
filme,9,109
film,9,271
cinema,9,199
acteurs,9,47
tournage,9,37
comedie,10,73
filme,10,107
film,10,278
cinema,10,200
acteurs,10,50
tournage,10,34
comedie,11,90
filme,11,104
film,11,287
cinema,11,214
acteurs,11,47
tournage,11,31
comedie,12,99
filme,12,114
film,12,357
cinema,12,221
acteurs,12,30
tournage,12,53
comedie,13,82
filme,13,103
film,13,408
cinema,13,225
acteurs,13,22
tournage,13,73
comedie,14,108
filme,14,113
film,14,419
cinema,14,245
acteurs,14,25
tournage,14,58
comedie,15,155
filme,15,117
film,15,420
cinema,15,289
acteurs,15,26
tournage,15,42
comedie,16,173
filme,16,109
film,16,409
cinema,16,313
acteurs,16,25
tournage,16,42
comedie,17,190
filme,17,109
film,17,462
cinema,17,312
acteurs,17,29
tournage,17,51
comedie,18,215
filme,18,95
film,18,502
cinema,18,374
acteurs,18,37
tournage,18,51
comedie,19,228
filme,19,88
film,19,473
cinema,19,369
acteurs,19,32
tournage,19,61
comedie,20,246
filme,20,79
film,20,487
cinema,20,367
acteurs,20,25
tournage,20,75
comedie,21,281
filme,21,96
film,21,505
cinema,21,427
acteurs,21,22
tournage,21,66
comedie,22,310
filme,22,94
film,22,547
cinema,22,417
acteurs,22,21
tournage,22,57
comedie,23,381
filme,23,95
film,23,749
cinema,23,416
acteurs,23,120
tournage,23,64
comedie,24,409
filme,24,111
film,24,843
cinema,24,397
acteurs,24,245
tournage,24,70
comedie,25,388
filme,25,108
film,25,891
cinema,25,390
acteurs,25,301
tournage,25,67
comedie,26,408
filme,26,96
film,26,835
cinema,26,430
acteurs,26,372
tournage,26,61
comedie,27,404
filme,27,72
film,27,830
cinema,27,422
acteurs,27,394
tournage,27,75
comedie,28,385
filme,28,53
film,28,983
cinema,28,389
acteurs,28,348
tournage,28,78
comedie,29,370
filme,29,47
film,29,1032
cinema,29,388
acteurs,29,324
tournage,29,63
comedie,30,362
filme,30,59
film,30,989
cinema,30,398
acteurs,30,311
tournage,30,51
comedie,31,376
filme,31,65
film,31,892
cinema,31,370
acteurs,31,300
tournage,31,45
comedie,32,379
filme,32,67
film,32,872
cinema,32,351
acteurs,32,289
tournage,32,54
comedie,33,346
filme,33,65
film,33,848
cinema,33,337
acteurs,33,263
tournage,33,57
comedie,34,323
filme,34,64
film,34,824
cinema,34,320
acteurs,34,243
tournage,34,64
comedie,35,322
filme,35,71
film,35,740
cinema,35,316
acteurs,35,238
tournage,35,63
comedie,36,251
filme,36,77
film,36,588
cinema,36,266
acteurs,36,192
tournage,36,67
comedie,37,148
filme,37,78
film,37,454
cinema,37,189
acteurs,37,120
tournage,37,75
comedie,38,124
filme,38,73
film,38,359
cinema,38,156
acteurs,38,92
tournage,38,67
comedie,39,120
filme,39,68
film,39,349
cinema,39,144
acteurs,39,82
tournage,39,66
comedie,40,105
filme,40,71
film,40,392
cinema,40,157
acteurs,40,81
tournage,40,68
comedie,41,106
filme,41,72
film,41,403
cinema,41,169
acteurs,41,83
tournage,41,69
comedie,42,120
filme,42,67
film,42,355
cinema,42,150
acteurs,42,86
tournage,42,64
comedie,43,138
filme,43,60
film,43,326
cinema,43,140
acteurs,43,96
tournage,43,55
comedie,44,136
filme,44,66
film,44,345
cinema,44,158
acteurs,44,94
tournage,44,52
comedie,45,128
filme,45,70
film,45,353
cinema,45,165
acteurs,45,88
tournage,45,53
comedie,46,107
filme,46,72
film,46,315
cinema,46,140
acteurs,46,75
tournage,46,61
comedie,47,101
filme,47,77
film,47,382
cinema,47,148
acteurs,47,74
tournage,47,71
comedie,48,100
filme,48,73
film,48,393
cinema,48,162
acteurs,48,85
tournage,48,69
comedie,49,73
filme,49,77
film,49,274
cinema,49,141
acteurs,49,78
tournage,49,63
comedie,50,61
filme,50,77
film,50,238
cinema,50,135
acteurs,50,74
tournage,50,60
comedie,51,61
filme,51,104
film,51,245
cinema,51,305
acteurs,51,209
tournage,51,62
comedie,52,73
filme,52,114
film,52,310
cinema,52,382
acteurs,52,242
tournage,52,55
comedie,53,70
filme,53,74
film,53,354
cinema,53,291
acteurs,53,148
tournage,53,54
comedie,54,58
filme,54,67
film,54,338
cinema,54,309
acteurs,54,188
tournage,54,74
comedie,55,57
filme,55,63
film,55,338
cinema,55,292
acteurs,55,201
tournage,55,65
comedie,56,56
filme,56,60
film,56,302
cinema,56,223
acteurs,56,129
tournage,56,50
comedie,57,52
filme,57,70
film,57,260
cinema,57,179
acteurs,57,82
tournage,57,51
comedie,58,55
filme,58,73
film,58,264
cinema,58,206
