name,year,frequency
fortnite,1,930
fortnite,2,962
fortnite,3,1387
fortnite,4,1097
fortnite,5,806
fortnite,6,1435
fortnite,7,1817
fortnite,8,3555
fortnite,9,3754
fortnite,10,3362
fortnite,11,3945
fortnite,12,3317
fortnite,13,3142
fortnite,14,2598
fortnite,15,2204
fortnite,16,2521
fortnite,17,2403
fortnite,18,2045
fortnite,19,1835
fortnite,20,1459
fortnite,21,2267
fortnite,22,2993
fortnite,23,3089
fortnite,24,2734
fortnite,25,1500
fortnite,26,1666
fortnite,27,2014
fortnite,28,1356
fortnite,29,1910
fortnite,30,2974
fortnite,31,2588
fortnite,32,1859
fortnite,33,1963
fortnite,34,3365
fortnite,35,3451
fortnite,36,2523
fortnite,37,3550
fortnite,38,4164
fortnite,39,4426
fortnite,40,4509
fortnite,41,4357
fortnite,42,4615
fortnite,43,4328
fortnite,44,3498
fortnite,45,3034
fortnite,46,2783
fortnite,47,2837
fortnite,48,2875
fortnite,49,2339
fortnite,50,2298
fortnite,51,1527
fortnite,52,2699
fortnite,53,5100
fortnite,54,3775
fortnite,55,2098
fortnite,56,1689
fortnite,57,1818
fortnite,58,1536
fortnite,59,2288
fortnite,60,4030
fortnite,61,3675
fortnite,62,2824
fortnite,63,2655
fortnite,64,2988
fortnite,65,2879
fortnite,66,2422
fortnite,67,2367
fortnite,68,2371
fortnite,69,2869
fortnite,70,2635
fortnite,71,2062
fortnite,72,2538
fortnite,73,2735
fortnite,74,2970
fortnite,75,3847
fortnite,76,3627
fortnite,77,3054
fortnite,78,3631
fortnite,79,3470
fortnite,80,2757
fortnite,81,2292
