name,year,frequency
jeu,1,433
lol,1,39
fifa,1,200
league,1,92
streaming,1,32
playstation,1,64
games,1,36
gameplay,1,76
gta,1,181
roblox,1,29
minecraft,1,84
jeu,2,595
lol,2,13
fifa,2,186
league,2,66
streaming,2,26
playstation,2,106
games,2,37
gameplay,2,73
gta,2,439
roblox,2,19
minecraft,2,136
jeu,3,656
lol,3,19
fifa,3,187
league,3,69
streaming,3,23
playstation,3,153
games,3,58
gameplay,3,90
gta,3,686
roblox,3,22
minecraft,3,127
jeu,4,619
lol,4,49
fifa,4,176
league,4,101
streaming,4,46
playstation,4,158
games,4,53
gameplay,4,96
gta,4,528
roblox,4,17
minecraft,4,105
jeu,5,600
lol,5,59
fifa,5,136
league,5,109
streaming,5,40
playstation,5,127
games,5,31
gameplay,5,110
gta,5,242
roblox,5,15
minecraft,5,132
jeu,6,648
lol,6,38
fifa,6,139
league,6,106
streaming,6,24
playstation,6,133
games,6,37
gameplay,6,122
gta,6,325
roblox,6,20
minecraft,6,132
jeu,7,695
lol,7,32
fifa,7,151
league,7,117
streaming,7,28
playstation,7,140
games,7,70
gameplay,7,148
gta,7,447
roblox,7,34
minecraft,7,129
jeu,8,638
lol,8,36
fifa,8,187
league,8,97
streaming,8,34
playstation,8,124
games,8,100
gameplay,8,220
gta,8,342
roblox,8,45
minecraft,8,190
jeu,9,667
lol,9,35
fifa,9,212
league,9,93
streaming,9,36
playstation,9,122
games,9,93
gameplay,9,218
gta,9,498
roblox,9,58
minecraft,9,186
jeu,10,751
lol,10,21
fifa,10,187
league,10,123
streaming,10,30
playstation,10,183
games,10,113
gameplay,10,225
gta,10,525
roblox,10,47
minecraft,10,182
jeu,11,732
lol,11,18
fifa,11,182
league,11,106
streaming,11,33
playstation,11,170
games,11,140
gameplay,11,250
gta,11,447
roblox,11,41
minecraft,11,214
jeu,12,776
lol,12,27
fifa,12,151
league,12,80
streaming,12,23
playstation,12,179
games,12,142
gameplay,12,209
gta,12,573
roblox,12,42
minecraft,12,205
jeu,13,883
lol,13,23
fifa,13,123
league,13,68
streaming,13,28
playstation,13,265
games,13,108
gameplay,13,193
gta,13,813
roblox,13,58
minecraft,13,212
jeu,14,819
lol,14,12
fifa,14,95
league,14,75
streaming,14,38
playstation,14,206
games,14,64
gameplay,14,227
gta,14,888
roblox,14,80
minecraft,14,162
jeu,15,761
lol,15,27
fifa,15,102
league,15,138
streaming,15,33
playstation,15,154
games,15,71
gameplay,15,292
gta,15,466
roblox,15,48
minecraft,15,116
jeu,16,907
lol,16,37
fifa,16,223
league,16,160
streaming,16,30
playstation,16,212
games,16,101
gameplay,16,326
gta,16,262
roblox,16,22
minecraft,16,137
jeu,17,958
lol,17,24
fifa,17,188
league,17,171
streaming,17,36
playstation,17,225
games,17,100
gameplay,17,268
gta,17,484
roblox,17,15
minecraft,17,107
jeu,18,784
lol,18,22
fifa,18,126
league,18,146
streaming,18,34
playstation,18,184
games,18,75
gameplay,18,232
gta,18,437
roblox,18,25
minecraft,18,78
jeu,19,750
lol,19,9
fifa,19,151
league,19,92
streaming,19,32
playstation,19,185
games,19,67
gameplay,19,236
gta,19,225
roblox,19,39
minecraft,19,71
jeu,20,836
lol,20,9
fifa,20,219
league,20,108
streaming,20,35
playstation,20,182
games,20,89
gameplay,20,221
gta,20,87
roblox,20,37
minecraft,20,60
jeu,21,800
lol,21,11
fifa,21,307
league,21,126
streaming,21,28
playstation,21,161
games,21,95
gameplay,21,216
gta,21,316
roblox,21,24
minecraft,21,81
jeu,22,839
lol,22,25
fifa,22,247
league,22,134
streaming,22,56
playstation,22,218
games,22,70
gameplay,22,243
gta,22,461
roblox,22,25
minecraft,22,102
jeu,23,862
lol,23,37
fifa,23,213
league,23,151
streaming,23,63
playstation,23,319
games,23,96
gameplay,23,262
gta,23,275
roblox,23,25
minecraft,23,65
jeu,24,796
lol,24,45
fifa,24,282
league,24,138
streaming,24,33
playstation,24,295
games,24,102
gameplay,24,214
gta,24,166
roblox,24,33
minecraft,24,77
jeu,25,782
lol,25,73
fifa,25,353
league,25,292
streaming,25,37
playstation,25,269
games,25,89
gameplay,25,175
gta,25,126
roblox,25,44
minecraft,25,129
jeu,26,703
lol,26,49
fifa,26,517
league,26,308
streaming,26,39
playstation,26,219
games,26,138
gameplay,26,193
gta,26,278
roblox,26,40
minecraft,26,156
jeu,27,533
lol,27,14
fifa,27,427
league,27,164
streaming,27,29
playstation,27,102
games,27,166
gameplay,27,166
gta,27,269
roblox,27,24
minecraft,27,121
jeu,28,497
lol,28,20
fifa,28,283
league,28,165
streaming,28,50
playstation,28,84
games,28,117
gameplay,28,102
gta,28,277
roblox,28,32
minecraft,28,65
jeu,29,503
lol,29,19
fifa,29,280
league,29,124
streaming,29,65
playstation,29,110
games,29,93
gameplay,29,101
gta,29,291
roblox,29,44
minecraft,29,84
jeu,30,551
lol,30,13
fifa,30,198
league,30,124
streaming,30,65
playstation,30,173
games,30,104
gameplay,30,141
gta,30,189
roblox,30,59
minecraft,30,87
jeu,31,594
lol,31,8
fifa,31,183
league,31,218
streaming,31,73
playstation,31,210
games,31,89
gameplay,31,129
gta,31,353
roblox,31,71
minecraft,31,68
jeu,32,552
lol,32,13
fifa,32,136
league,32,309
streaming,32,62
playstation,32,174
games,32,82
gameplay,32,93
gta,32,310
roblox,32,63
minecraft,32,62
jeu,33,538
lol,33,20
fifa,33,123
league,33,286
streaming,33,87
playstation,33,175
games,33,98
gameplay,33,108
gta,33,251
roblox,33,62
minecraft,33,72
jeu,34,547
lol,34,18
fifa,34,124
league,34,331
streaming,34,81
playstation,34,189
games,34,110
gameplay,34,120
gta,34,256
roblox,34,44
minecraft,34,119
jeu,35,633
lol,35,32
fifa,35,132
league,35,392
streaming,35,36
playstation,35,232
games,35,100
gameplay,35,122
gta,35,163
roblox,35,52
minecraft,35,111
jeu,36,685
lol,36,50
fifa,36,137
league,36,311
streaming,36,37
playstation,36,191
games,36,102
gameplay,36,172
gta,36,261
roblox,36,126
minecraft,36,151
jeu,37,708
lol,37,129
fifa,37,129
league,37,233
streaming,37,48
playstation,37,132
games,37,130
gameplay,37,247
gta,37,432
roblox,37,189
minecraft,37,252
jeu,38,770
lol,38,279
fifa,38,129
league,38,184
streaming,38,56
playstation,38,160
games,38,145
gameplay,38,292
gta,38,484
roblox,38,178
minecraft,38,280
jeu,39,765
lol,39,210
fifa,39,135
league,39,169
streaming,39,69
playstation,39,164
games,39,145
gameplay,39,289
gta,39,556
roblox,39,174
minecraft,39,270
jeu,40,732
lol,40,62
fifa,40,141
league,40,170
streaming,40,71
playstation,40,147
games,40,129
gameplay,40,257
gta,40,665
roblox,40,167
minecraft,40,293
jeu,41,758
lol,41,66
fifa,41,158
league,41,161
streaming,41,64
playstation,41,148
games,41,128
gameplay,41,274
gta,41,1205
roblox,41,169
minecraft,41,320
jeu,42,729
lol,42,67
fifa,42,161
league,42,137
streaming,42,60
playstation,42,133
games,42,139
gameplay,42,272
gta,42,1381
roblox,42,177
minecraft,42,300
jeu,43,705
lol,43,70
fifa,43,140
league,43,156
streaming,43,62
playstation,43,109
games,43,135
gameplay,43,262
gta,43,876
roblox,43,171
minecraft,43,293
jeu,44,742
lol,44,81
fifa,44,118
league,44,160
streaming,44,59
playstation,44,136
games,44,128
gameplay,44,266
gta,44,649
roblox,44,173
minecraft,44,299
jeu,45,768
lol,45,71
fifa,45,183
league,45,205
streaming,45,52
playstation,45,129
games,45,121
gameplay,45,249
gta,45,483
roblox,45,165
minecraft,45,264
jeu,46,791
lol,46,61
fifa,46,342
league,46,223
streaming,46,51
playstation,46,114
games,46,127
gameplay,46,253
gta,46,357
roblox,46,169
minecraft,46,237
jeu,47,792
lol,47,55
fifa,47,357
league,47,139
streaming,47,48
playstation,47,119
games,47,136
gameplay,47,263
gta,47,376
roblox,47,179
minecraft,47,264
jeu,48,786
lol,48,44
fifa,48,275
league,48,121
streaming,48,49
playstation,48,123
games,48,140
gameplay,48,267
gta,48,523
roblox,48,193
minecraft,48,287
jeu,49,809
lol,49,40
fifa,49,267
league,49,110
streaming,49,48
playstation,49,112
games,49,141
gameplay,49,272
gta,49,659
roblox,49,182
minecraft,49,263
jeu,50,795
lol,50,38
fifa,50,277
league,50,124
streaming,50,52
playstation,50,96
games,50,145
gameplay,50,264
gta,50,733
roblox,50,145
minecraft,50,227
jeu,51,803
lol,51,55
fifa,51,311
league,51,269
streaming,51,63
playstation,51,172
games,51,96
gameplay,51,185
gta,51,510
roblox,51,163
minecraft,51,164
jeu,52,900
lol,52,52
fifa,52,403
league,52,280
streaming,52,59
playstation,52,166
games,52,96
gameplay,52,186
gta,52,1043
roblox,52,196
minecraft,52,166
jeu,53,870
lol,53,29
fifa,53,352
league,53,145
streaming,53,58
playstation,53,89
games,53,120
gameplay,53,223
gta,53,1083
roblox,53,155
minecraft,53,212
jeu,54,826
lol,54,33
fifa,54,237
league,54,178
streaming,54,61
playstation,54,124
games,54,82
gameplay,54,216
gta,54,295
roblox,54,149
minecraft,54,207
jeu,55,795
lol,55,56
fifa,55,217
league,55,267
streaming,55,54
playstation,55,158
games,55,61
gameplay,55,208
gta,55,153
roblox,55,205
minecraft,55,176
jeu,56,608
lol,56,62
fifa,56,176
league,56,299
streaming,56,47
playstation,56,138
games,56,49
gameplay,56,147
gta,56,86
roblox,56,218
minecraft,56,118
jeu,57,578
lol,57,47
fifa,57,206
league,57,244
streaming,57,49
playstation,57,115
games,57,60
gameplay,57,133
gta,57,168
roblox,57,204
minecraft,57,106
jeu,58,702
lol,58,44
fifa,58,221
league,58,220
streaming,58,76
playstation,58,159
games,58,56
gameplay,58,120
gta,58,153
roblox,58,235
minecraft,58,119
jeu,59,696
lol,59,46
fifa,59,235
league,59,214
streaming,59,84
playstation,59,133
games,59,61
gameplay,59,125
gta,59,178
roblox,59,221
minecraft,59,129
jeu,60,685
lol,60,53
fifa,60,323
league,60,185
streaming,60,75
playstation,60,55
games,60,91
gameplay,60,173
gta,60,243
roblox,60,169
minecraft,60,155
jeu,61,683
lol,61,86
fifa,61,373
league,61,192
streaming,61,79
playstation,61,60
games,61,93
gameplay,61,182
gta,61,458
roblox,61,175
minecraft,61,157
jeu,62,645
lol,62,98
fifa,62,312
league,62,170
streaming,62,65
playstation,62,72
games,62,94
gameplay,62,187
gta,62,416
roblox,62,162
minecraft,62,145
jeu,63,620
lol,63,68
fifa,63,224
league,63,141
streaming,63,49
playstation,63,73
games,63,94
gameplay,63,187
gta,63,133
roblox,63,145
minecraft,63,149
jeu,64,611
lol,64,49
fifa,64,204
league,64,130
streaming,64,44
playstation,64,63
games,64,96
gameplay,64,184
gta,64,140
roblox,64,128
minecraft,64,153
jeu,65,582
lol,65,41
fifa,65,209
league,65,107
streaming,65,36
playstation,65,55
games,65,109
gameplay,65,179
gta,65,186
roblox,65,126
minecraft,65,155
jeu,66,566
lol,66,39
fifa,66,240
league,66,83
streaming,66,32
playstation,66,52
games,66,111
gameplay,66,160
gta,66,195
roblox,66,157
minecraft,66,176
jeu,67,579
lol,67,51
fifa,67,259
league,67,70
streaming,67,32
playstation,67,60
games,67,115
gameplay,67,175
gta,67,326
roblox,67,191
minecraft,67,189
jeu,68,562
lol,68,55
fifa,68,213
league,68,90
streaming,68,42
playstation,68,69
games,68,110
gameplay,68,183
gta,68,481
roblox,68,202
minecraft,68,183
jeu,69,557
lol,69,54
fifa,69,244
league,69,134
streaming,69,56
playstation,69,67
games,69,110
gameplay,69,187
gta,69,438
roblox,69,194
minecraft,69,185
jeu,70,565
lol,70,53
fifa,70,234
league,70,142
streaming,70,60
playstation,70,60
games,70,115
gameplay,70,190
gta,70,293
roblox,70,182
minecraft,70,183
jeu,71,562
lol,71,49
fifa,71,158
league,71,139
streaming,71,59
playstation,71,53
games,71,117
gameplay,71,170
gta,71,181
roblox,71,207
minecraft,71,193
jeu,72,564
lol,72,52
fifa,72,404
league,72,143
streaming,72,62
playstation,72,57
games,72,96
gameplay,72,156
gta,72,147
roblox,72,233
minecraft,72,203
jeu,73,579
lol,73,98
fifa,73,511
league,73,142
streaming,73,74
playstation,73,57
games,73,77
gameplay,73,164
gta,73,92
roblox,73,212
minecraft,73,203
jeu,74,577
lol,74,122
fifa,74,460
league,74,166
streaming,74,88
playstation,74,63
games,74,112
gameplay,74,188
gta,74,134
roblox,74,212
minecraft,74,217
jeu,75,590
lol,75,75
fifa,75,524
league,75,167
streaming,75,80
playstation,75,78
games,75,125
gameplay,75,192
gta,75,146
roblox,75,247
minecraft,75,228
jeu,76,617
lol,76,48
fifa,76,589
league,76,128
streaming,76,89
playstation,76,76
games,76,106
gameplay,76,191
gta,76,76
roblox,76,236
minecraft,76,258
jeu,77,614
lol,77,49
fifa,77,631
league,77,101
streaming,77,80
playstation,77,69
games,77,90
gameplay,77,210
gta,77,122
roblox,77,196
minecraft,77,281
jeu,78,557
lol,78,49
fifa,78,606
league,78,109
streaming,78,44
playstation,78,63
games,78,91
gameplay,78,194
gta,78,243
roblox,78,182
minecraft,78,246
jeu,79,538
lol,79,45
fifa,79,581
league,79,135
streaming,79,36
playstation,79,55
games,79,103
gameplay,79,153
gta,79,248
roblox,79,173
minecraft,79,255
jeu,80,559
lol,80,52
fifa,80,484
league,80,142
streaming,80,47
playstation,80,50
games,80,96
gameplay,80,150
gta,80,204
roblox,80,169
minecraft,80,283
jeu,81,509
lol,81,57
fifa,81,374
league,81,141
streaming,81,47
playstation,81,54
games,81,92
gameplay,81,145
gta,81,184
roblox,81,171
minecraft,81,282
