name,value,year,lastValue,rank
musique,6.4625251112664595,1,6.4625251112664595,1
voiture,1.763479736223699,1,1.763479736223699,2
moto,1.1620604491146742,1,1.1620604491146742,3
skyrock,0.9385459540739043,1,0.9385459540739043,4
dakar,0.6556915711541205,1,0.6556915711541205,5
electrique,0.6311175015546555,1,0.6311175015546555,6
chansons,0.5790565704086842,1,0.5790565704086842,7
auto,0.3719452410514786,1,0.3719452410514786,8
guitare,0.23211316395363468,1,0.23211316395363468,9
musique,6.455931955385663,2,6.4625251112664595,1
voiture,2.2002024712344745,2,1.763479736223699,2
moto,1.1467630895960266,2,1.1620604491146742,3
skyrock,0.9140686251466089,2,0.9385459540739043,4
auto,0.7464861417744164,2,0.3719452410514786,5
chansons,0.4332248888932223,2,0.5790565704086842,6
electrique,0.37707331415322287,2,0.6311175015546555,7
guitare,0.3354395849004759,2,0.23211316395363468,8
dakar,0.2637977130933885,2,0.6556915711541205,9
musique,6.249947073512761,3,6.455931955385663,1
voiture,2.678082128152992,3,2.2002024712344745,2
guitare,1.1390142094047424,3,0.3354395849004759,3
auto,0.9428491992169032,3,0.7464861417744164,4
skyrock,0.8775205755741992,3,0.9140686251466089,5
moto,0.760577746121593,3,1.1467630895960266,6
chansons,0.5911011172924872,3,0.4332248888932223,7
electrique,0.3601488267849782,3,0.37707331415322287,8
dakar,0.2990601195276281,3,0.2637977130933885,9
musique,6.812755247217775,4,6.249947073512761,1
voiture,2.1545881409847842,4,2.678082128152992,2
guitare,1.1163531752600704,4,1.1390142094047424,3
chansons,1.099471076903483,4,0.5911011172924872,4
auto,0.6002049120950275,4,0.9428491992169032,5
moto,0.518260882600431,4,0.760577746121593,6
skyrock,0.34984039401582034,4,0.8775205755741992,7
electrique,0.3273892608308554,4,0.3601488267849782,8
dakar,0.31694607032484373,4,0.2990601195276281,9
musique,7.138364973579959,5,6.812755247217775,1
voiture,2.045248277053806,5,2.1545881409847842,2
chansons,1.5012082317633089,5,1.099471076903483,3
electrique,0.9465861339206519,5,0.3273892608308554,4
moto,0.629197423273423,5,0.518260882600431,5
skyrock,0.4589580418784309,5,0.34984039401582034,6
auto,0.4039095461705664,5,0.6002049120950275,7
dakar,0.2766138122316355,5,0.31694607032484373,8
guitare,0.2736348327860745,5,1.1163531752600704,9
musique,6.85845470006087,6,7.138364973579959,1
voiture,2.969386982713109,6,2.045248277053806,2
chansons,1.219839337372212,6,1.5012082317633089,3
electrique,1.109047261466519,6,0.9465861339206519,4
moto,0.9402341119879991,6,0.629197423273423,5
guitare,0.6207225753310098,6,0.2736348327860745,6
auto,0.47401579170381203,6,0.4039095461705664,7
skyrock,0.46123168450424323,6,0.4589580418784309,8
dakar,0.40535550773860096,6,0.2766138122316355,9
musique,7.106589514695695,7,6.85845470006087,1
voiture,3.1137724115276564,7,2.969386982713109,2
moto,1.092068535493229,7,0.9402341119879991,3
guitare,1.004465347244075,7,0.6207225753310098,4
chansons,0.7837600156293353,7,1.219839337372212,5
electrique,0.7186487384692017,7,1.109047261466519,6
dakar,0.693936197638333,7,0.40535550773860096,7
auto,0.5121736864902715,7,0.47401579170381203,8
skyrock,0.2679775422584233,7,0.46123168450424323,9
musique,7.038026972870698,8,7.106589514695695,1
voiture,2.549649252815929,8,3.1137724115276564,2
moto,1.0820794386030246,8,1.092068535493229,3
guitare,0.9773181766001903,8,1.004465347244075,4
chansons,0.6914743466428945,8,0.7837600156293353,5
electrique,0.6535950090297153,8,0.7186487384692017,6
dakar,0.5848137731036679,8,0.693936197638333,7
auto,0.3883218882168034,8,0.5121736864902715,8
skyrock,0.11987983147664233,8,0.2679775422584233,9
musique,6.396312991073804,9,7.038026972870698,1
voiture,2.1436529527703088,9,2.549649252815929,2
moto,1.1304076607230904,9,1.0820794386030246,3
chansons,0.96713666128007,9,0.6914743466428945,4
guitare,0.8214232944072547,9,0.9773181766001903,5
electrique,0.544174490895506,9,0.6535950090297153,6
auto,0.4332720319896646,9,0.3883218882168034,7
dakar,0.29049012673600183,9,0.5848137731036679,8
skyrock,0.19659441328690996,9,0.11987983147664233,9
musique,6.505343617501788,10,6.396312991073804,1
voiture,2.4077540091858074,10,2.1436529527703088,2
moto,1.2872486274186254,10,1.1304076607230904,3
chansons,1.0188731116902918,10,0.96713666128007,4
guitare,0.6795660523927047,10,0.8214232944072547,5
electrique,0.5106376390421334,10,0.544174490895506,6
