name,year,frequency
voiture,1,176
auto,1,37
dakar,1,65
electrique,1,63
moto,1,116
musique,1,646
skyrock,1,93
guitare,1,23
chansons,1,57
voiture,2,220
auto,2,74
dakar,2,26
electrique,2,37
moto,2,114
musique,2,645
skyrock,2,91
guitare,2,33
chansons,2,43
voiture,3,267
auto,3,94
dakar,3,29
electrique,3,36
moto,3,76
musique,3,624
skyrock,3,87
guitare,3,113
chansons,3,59
voiture,4,215
auto,4,60
dakar,4,31
electrique,4,32
moto,4,51
musique,4,681
skyrock,4,34
guitare,4,111
chansons,4,109
voiture,5,204
auto,5,40
dakar,5,27
electrique,5,94
moto,5,62
musique,5,713
skyrock,5,45
guitare,5,27
chansons,5,150
voiture,6,296
auto,6,47
dakar,6,40
electrique,6,110
moto,6,94
musique,6,685
skyrock,6,46
guitare,6,62
chansons,6,121
voiture,7,311
auto,7,51
dakar,7,69
electrique,7,71
moto,7,109
musique,7,710
skyrock,7,26
guitare,7,100
chansons,7,78
voiture,8,254
auto,8,38
dakar,8,58
electrique,8,65
moto,8,108
musique,8,703
skyrock,8,11
guitare,8,97
chansons,8,69
voiture,9,214
auto,9,43
dakar,9,29
electrique,9,54
moto,9,113
musique,9,639
skyrock,9,19
guitare,9,82
chansons,9,96
voiture,10,240
auto,10,47
dakar,10,22
electrique,10,51
moto,10,128
musique,10,650
skyrock,10,20
guitare,10,67
chansons,10,101
voiture,11,311
auto,11,39
dakar,11,22
electrique,11,76
moto,11,125
musique,11,613
skyrock,11,25
guitare,11,78
chansons,11,55
voiture,12,299
auto,12,64
dakar,12,26
electrique,12,93
moto,12,86
musique,12,663
skyrock,12,31
guitare,12,78
chansons,12,31
voiture,13,354
auto,13,89
dakar,13,24
electrique,13,64
moto,13,68
musique,13,812
skyrock,13,53
guitare,13,48
chansons,13,43
voiture,14,381
auto,14,120
dakar,14,18
electrique,14,51
moto,14,111
musique,14,812
skyrock,14,49
guitare,14,39
chansons,14,58
voiture,15,255
auto,15,86
dakar,15,17
electrique,15,70
moto,15,131
musique,15,871
skyrock,15,28
guitare,15,23
chansons,15,54
voiture,16,217
auto,16,26
dakar,16,20
electrique,16,75
moto,16,81
musique,16,806
skyrock,16,21
guitare,16,8
chansons,16,45
voiture,17,207
auto,17,37
dakar,17,17
electrique,17,80
moto,17,66
musique,17,740
skyrock,17,13
guitare,17,25
chansons,17,37
voiture,18,189
auto,18,41
dakar,18,16
electrique,18,95
moto,18,70
musique,18,1016
skyrock,18,41
