name,year,frequency
jesus,1,41
snapchat,1,766
jesus,2,38
snapchat,2,727
jesus,3,25
snapchat,3,736
jesus,4,26
snapchat,4,738
jesus,5,25
snapchat,5,703
jesus,6,25
snapchat,6,704
jesus,7,21
snapchat,7,710
jesus,8,45
snapchat,8,694
jesus,9,64
snapchat,9,696
jesus,10,41
snapchat,10,677
jesus,11,36
snapchat,11,626
jesus,12,60
snapchat,12,597
jesus,13,58
snapchat,13,661
jesus,14,37
snapchat,14,700
jesus,15,46
snapchat,15,626
jesus,16,42
snapchat,16,633
jesus,17,21
snapchat,17,637
jesus,18,12
snapchat,18,670
jesus,19,28
snapchat,19,682
jesus,20,35
snapchat,20,665
jesus,21,31
snapchat,21,674
jesus,22,31
snapchat,22,633
jesus,23,22
snapchat,23,655
jesus,24,22
snapchat,24,647
jesus,25,24
snapchat,25,605
jesus,26,41
snapchat,26,588
jesus,27,51
snapchat,27,541
jesus,28,172
snapchat,28,495
jesus,29,276
snapchat,29,479
jesus,30,205
snapchat,30,486
jesus,31,171
snapchat,31,506
jesus,32,208
snapchat,32,516
jesus,33,317
snapchat,33,485
jesus,34,332
snapchat,34,427
jesus,35,274
snapchat,35,398
jesus,36,265
snapchat,36,431
jesus,37,247
snapchat,37,491
jesus,38,247
snapchat,38,525
jesus,39,234
snapchat,39,525
jesus,40,233
snapchat,40,528
jesus,41,220
snapchat,41,536
jesus,42,195
snapchat,42,514
jesus,43,197
snapchat,43,502
jesus,44,201
snapchat,44,517
jesus,45,202
snapchat,45,519
jesus,46,197
snapchat,46,510
jesus,47,178
snapchat,47,491
jesus,48,166
snapchat,48,490
jesus,49,160
snapchat,49,494
jesus,50,162
snapchat,50,482
jesus,51,107
snapchat,51,499
jesus,52,61
snapchat,52,584
jesus,53,47
snapchat,53,637
jesus,54,14
snapchat,54,654
jesus,55,11
snapchat,55,623
jesus,56,19
snapchat,56,598
jesus,57,47
snapchat,57,642
jesus,58,36
snapchat,58,737
jesus,59,71
snapchat,59,716
jesus,60,208
snapchat,60,565
jesus,61,265
snapchat,61,501
jesus,62,270
snapchat,62,448
jesus,63,322
snapchat,63,422
jesus,64,350
snapchat,64,415
jesus,65,347
snapchat,65,393
jesus,66,363
snapchat,66,382
jesus,67,379
snapchat,67,383
jesus,68,382
snapchat,68,384
jesus,69,372
snapchat,69,372
jesus,70,351
snapchat,70,393
jesus,71,341
snapchat,71,409
jesus,72,356
snapchat,72,402
jesus,73,352
snapchat,73,409
jesus,74,333
snapchat,74,408
jesus,75,327
snapchat,75,433
jesus,76,307
snapchat,76,474
jesus,77,297
snapchat,77,462
jesus,78,325
snapchat,78,394
jesus,79,337
snapchat,79,358
jesus,80,307
snapchat,80,375
jesus,81,450
snapchat,81,382
