name,year,frequency
guerre,1,224
international,1,179
analyse,1,179
interview,1,85
immigration,1,7
nationale,1,107
analyses,1,69
poutine,1,77
politique,1,199
guerre,2,143
international,2,163
analyse,2,180
interview,2,124
immigration,2,15
nationale,2,110
analyses,2,80
poutine,2,93
politique,2,194
guerre,3,158
international,3,141
analyse,3,141
interview,3,123
immigration,3,18
nationale,3,95
analyses,3,79
poutine,3,27
politique,3,198
guerre,4,165
international,4,125
analyse,4,140
interview,4,119
immigration,4,20
nationale,4,163
analyses,4,70
poutine,4,19
politique,4,207
guerre,5,137
international,5,123
analyse,5,139
interview,5,126
immigration,5,10
nationale,5,211
analyses,5,63
poutine,5,62
politique,5,187
guerre,6,157
international,6,116
analyse,6,231
interview,6,94
immigration,6,0
nationale,6,147
analyses,6,60
poutine,6,83
politique,6,143
guerre,7,143
international,7,108
analyse,7,259
interview,7,80
immigration,7,0
nationale,7,106
analyses,7,59
poutine,7,41
politique,7,117
guerre,8,129
international,8,99
analyse,8,201
interview,8,108
immigration,8,16
nationale,8,107
analyses,8,67
poutine,8,34
politique,8,147
guerre,9,157
international,9,96
analyse,9,211
interview,9,115
immigration,9,20
nationale,9,125
analyses,9,68
poutine,9,35
politique,9,186
guerre,10,143
international,10,89
analyse,10,220
interview,10,127
immigration,10,7
nationale,10,137
analyses,10,66
poutine,10,36
politique,10,205
guerre,11,109
international,11,71
analyse,11,182
interview,11,160
immigration,11,3
nationale,11,139
analyses,11,67
poutine,11,30
politique,11,230
guerre,12,130
international,12,77
analyse,12,162
interview,12,160
immigration,12,4
nationale,12,135
analyses,12,70
poutine,12,11
politique,12,202
guerre,13,138
international,13,98
analyse,13,204
interview,13,125
immigration,13,9
nationale,13,198
analyses,13,76
poutine,13,114
politique,13,190
guerre,14,165
international,14,91
analyse,14,214
interview,14,158
immigration,14,5
nationale,14,225
analyses,14,74
poutine,14,114
politique,14,255
guerre,15,172
international,15,72
analyse,15,200
interview,15,184
immigration,15,6
nationale,15,172
analyses,15,76
poutine,15,17
politique,15,257
guerre,16,134
international,16,88
analyse,16,207
interview,16,143
immigration,16,10
nationale,16,109
analyses,16,75
poutine,16,31
