name,year,frequency
mercato,1,312
goal,1,21
champions,1,87
pronostics,1,9
musculation,1,74
mbappe,1,54
sport,1,115
sportive,1,21
football,1,304
barca,1,88
psg,1,69
chelsea,1,70
madrid,1,168
mercato,2,293
goal,2,14
champions,2,87
pronostics,2,10
musculation,2,64
mbappe,2,61
sport,2,146
sportive,2,17
football,2,342
barca,2,111
psg,2,77
chelsea,2,37
madrid,2,107
mercato,3,203
goal,3,60
champions,3,94
pronostics,3,9
musculation,3,61
mbappe,3,63
sport,3,167
sportive,3,25
football,3,345
barca,3,103
psg,3,80
chelsea,3,10
madrid,3,105
mercato,4,104
goal,4,63
champions,4,174
pronostics,4,19
musculation,4,77
mbappe,4,59
sport,4,160
sportive,4,34
football,4,326
barca,4,114
psg,4,172
chelsea,4,22
madrid,4,121
mercato,5,97
goal,5,3
champions,5,205
pronostics,5,19
musculation,5,74
mbappe,5,47
sport,5,175
sportive,5,28
football,5,347
barca,5,92
psg,5,259
chelsea,5,34
madrid,5,133
mercato,6,89
goal,6,11
champions,6,118
pronostics,6,7
musculation,6,71
mbappe,6,36
sport,6,201
sportive,6,69
football,6,358
barca,6,81
psg,6,156
chelsea,6,33
madrid,6,99
mercato,7,93
goal,7,55
champions,7,95
pronostics,7,7
musculation,7,89
mbappe,7,25
sport,7,200
sportive,7,95
football,7,316
barca,7,84
psg,7,57
chelsea,7,39
madrid,7,78
mercato,8,83
goal,8,109
champions,8,95
pronostics,8,18
musculation,8,113
mbappe,8,26
sport,8,185
sportive,8,65
football,8,256
barca,8,51
psg,8,70
chelsea,8,40
madrid,8,94
mercato,9,88
goal,9,138
champions,9,68
pronostics,9,10
musculation,9,113
mbappe,9,23
sport,9,143
sportive,9,35
football,9,239
barca,9,62
psg,9,63
chelsea,9,31
madrid,9,89
mercato,10,137
goal,10,149
champions,10,83
pronostics,10,1
musculation,10,97
mbappe,10,17
sport,10,134
sportive,10,43
football,10,284
barca,10,74
psg,10,48
chelsea,10,41
madrid,10,65
mercato,11,152
goal,11,164
champions,11,100
pronostics,11,6
musculation,11,98
mbappe,11,17
sport,11,207
sportive,11,80
football,11,298
barca,11,81
psg,11,60
chelsea,11,89
madrid,11,59
mercato,12,172
goal,12,166
champions,12,102
pronostics,12,6
musculation,12,98
mbappe,12,17
sport,12,207
