name,value,year,lastValue,rank
cryptos*10,2.5231594839305997,1,2.5231594839305997,1
ukraine,0.4404403146938436,1,0.4404403146938436,2
cryptos*10,5.892572684028203,2,2.5231594839305997,1
ukraine,0.41612295989590947,2,0.4404403146938436,2
cryptos*10,6.796083388362794,3,5.892572684028203,1
ukraine,0.10768642233897657,3,0.41612295989590947,2
cryptos*10,6.320800671014536,4,6.796083388362794,1
ukraine,0.26466600202872237,4,0.10768642233897657,2
cryptos*10,5.929752315098693,5,6.320800671014536,1
ukraine,0.28863942045664437,5,0.26466600202872237,2
cryptos*10,3.8523952233658942,6,5.929752315098693,1
ukraine,0.14469977086906277,6,0.28863942045664437,2
cryptos*10,1.4717054544003048,7,3.8523952233658942,1
ukraine,0.09064681108751566,7,0.14469977086906277,2
cryptos*10,1.835196896565169,8,1.4717054544003048,1
ukraine,0.03199416585321559,8,0.09064681108751566,2
cryptos*10,0.8284539140418874,9,1.835196896565169,1
ukraine,0.0819589133241207,9,0.03199416585321559,2
cryptos*10,1.2517957094381817,10,0.8284539140418874,1
ukraine,0.09797428808389008,10,0.0819589133241207,2
cryptos*10,3.901775901851493,11,1.2517957094381817,1
ukraine,0.016015374759769378,11,0.09797428808389008,2
cryptos*10,4.732266707764137,12,3.901775901851493,1
ukraine,0.018129079042784626,12,0.016015374759769378,2
cryptos*10,2.6992494086602754,13,4.732266707764137,1
ukraine,0.07886460577095843,13,0.018129079042784626,2
cryptos*10,1.943733414228431,14,2.6992494086602754,1
ukraine,0.09007454022173472,14,0.07886460577095843,2
cryptos*10,0.9181954970311283,15,1.943733414228431,1
ukraine,0.1823522993978111,15,0.09007454022173472,2
cryptos*10,0.7131500570855088,16,0.9181954970311283,1
ukraine,0.2544521250740585,16,0.1823522993978111,2
cryptos*10,3.4444001593578255,17,0.7131500570855088,1
ukraine,0.13758800203129995,17,0.2544521250740585,2
cryptos*10,4.835165006180286,18,3.4444001593578255,1
ukraine,0.09499169922201363,18,0.13758800203129995,2
cryptos*10,3.4396348015273044,19,4.835165006180286,1
ukraine,0.12880557908932305,19,0.09499169922201363,2
cryptos*10,3.5029554288965588,20,3.4396348015273044,1
