name,year,frequency
ukraine,1,44
cryptos*10,1,252
ukraine,2,41
cryptos*10,2,589
ukraine,3,10
cryptos*10,3,679
ukraine,4,26
cryptos*10,4,632
ukraine,5,28
cryptos*10,5,592
ukraine,6,14
cryptos*10,6,385
ukraine,7,9
cryptos*10,7,147
ukraine,8,3
cryptos*10,8,183
ukraine,9,8
cryptos*10,9,82
ukraine,10,9
cryptos*10,10,125
ukraine,11,1
cryptos*10,11,390
ukraine,12,1
cryptos*10,12,473
ukraine,13,7
cryptos*10,13,269
ukraine,14,9
cryptos*10,14,194
ukraine,15,18
cryptos*10,15,91
ukraine,16,25
cryptos*10,16,71
ukraine,17,13
cryptos*10,17,344
ukraine,18,9
cryptos*10,18,483
ukraine,19,12
cryptos*10,19,343
ukraine,20,21
cryptos*10,20,350
ukraine,21,20
cryptos*10,21,308
ukraine,22,8
cryptos*10,22,168
ukraine,23,3
cryptos*10,23,112
ukraine,24,3
cryptos*10,24,105
ukraine,25,8
cryptos*10,25,244
ukraine,26,6
cryptos*10,26,138
ukraine,27,1
cryptos*10,27,132
ukraine,28,7
cryptos*10,28,227
ukraine,29,12
cryptos*10,29,131
ukraine,30,7
cryptos*10,30,53
ukraine,31,10
cryptos*10,31,55
ukraine,32,34
cryptos*10,32,129
ukraine,33,59
cryptos*10,33,121
ukraine,34,87
cryptos*10,34,175
ukraine,35,65
cryptos*10,35,271
ukraine,36,15
cryptos*10,36,372
ukraine,37,5
cryptos*10,37,343
ukraine,38,24
cryptos*10,38,228
ukraine,39,46
cryptos*10,39,216
ukraine,40,27
cryptos*10,40,145
ukraine,41,7
cryptos*10,41,108
ukraine,42,6
cryptos*10,42,64
ukraine,43,5
cryptos*10,43,0
ukraine,44,16
cryptos*10,44,91
ukraine,45,15
cryptos*10,45,188
ukraine,46,5
cryptos*10,46,143
ukraine,47,5
cryptos*10,47,161
ukraine,48,4
cryptos*10,48,211
ukraine,49,6
cryptos*10,49,224
ukraine,50,17
cryptos*10,50,245
ukraine,51,61
cryptos*10,51,418
ukraine,52,69
cryptos*10,52,432
ukraine,53,50
cryptos*10,53,120
ukraine,54,221
cryptos*10,54,107
ukraine,55,393
cryptos*10,55,1100
ukraine,56,1171
cryptos*10,56,1997
ukraine,57,2354
cryptos*10,57,2206
ukraine,58,1962
cryptos*10,58,2353
ukraine,59,964
cryptos*10,59,1866
ukraine,60,526
cryptos*10,60,1268
ukraine,61,284
cryptos*10,61,1112
ukraine,62,285
cryptos*10,62,1068
ukraine,63,289
cryptos*10,63,1095
ukraine,64,279
cryptos*10,64,1114
ukraine,65,225
cryptos*10,65,876
ukraine,66,184
cryptos*10,66,639
ukraine,67,170
cryptos*10,67,551
ukraine,68,127
cryptos*10,68,483
ukraine,69,104
cryptos*10,69,504
ukraine,70,107
cryptos*10,70,536
ukraine,71,140
cryptos*10,71,596
ukraine,72,192
cryptos*10,72,611
ukraine,73,220
cryptos*10,73,549
ukraine,74,205
cryptos*10,74,494
ukraine,75,187
cryptos*10,75,682
ukraine,76,210
cryptos*10,76,763
ukraine,77,220
cryptos*10,77,604
ukraine,78,198
cryptos*10,78,473
ukraine,79,171
cryptos*10,79,504
ukraine,80,185
cryptos*10,80,712
ukraine,81,219
cryptos*10,81,686
