name,year,frequency
vierge,1,11
partenaire,1,101
gmail.com,1,654
vierge,2,18
partenaire,2,100
gmail.com,2,573
vierge,3,10
partenaire,3,93
gmail.com,3,550
vierge,4,17
partenaire,4,97
gmail.com,4,540
vierge,5,20
partenaire,5,108
gmail.com,5,545
vierge,6,21
partenaire,6,94
gmail.com,6,588
vierge,7,17
partenaire,7,68
gmail.com,7,594
vierge,8,14
partenaire,8,53
gmail.com,8,574
vierge,9,29
partenaire,9,52
gmail.com,9,585
vierge,10,19
partenaire,10,60
gmail.com,10,581
vierge,11,9
partenaire,11,47
gmail.com,11,584
vierge,12,18
partenaire,12,57
gmail.com,12,573
vierge,13,18
partenaire,13,62
gmail.com,13,578
vierge,14,8
partenaire,14,67
gmail.com,14,601
vierge,15,21
partenaire,15,77
gmail.com,15,633
vierge,16,26
partenaire,16,63
gmail.com,16,646
vierge,17,6
partenaire,17,58
gmail.com,17,623
vierge,18,4
partenaire,18,64
gmail.com,18,647
vierge,19,30
partenaire,19,72
gmail.com,19,594
vierge,20,32
partenaire,20,82
gmail.com,20,544
vierge,21,22
partenaire,21,91
gmail.com,21,571
vierge,22,22
partenaire,22,80
gmail.com,22,608
vierge,23,13
partenaire,23,59
gmail.com,23,648
vierge,24,14
partenaire,24,76
gmail.com,24,655
vierge,25,14
partenaire,25,118
gmail.com,25,674
vierge,26,25
partenaire,26,120
gmail.com,26,698
vierge,27,39
partenaire,27,94
gmail.com,27,666
vierge,28,49
partenaire,28,84
gmail.com,28,649
vierge,29,40
partenaire,29,93
gmail.com,29,688
vierge,30,14
partenaire,30,83
gmail.com,30,726
vierge,31,8
partenaire,31,81
gmail.com,31,706
vierge,32,30
partenaire,32,85
gmail.com,32,701
vierge,33,49
partenaire,33,76
gmail.com,33,725
vierge,34,38
partenaire,34,73
gmail.com,34,737
vierge,35,19
partenaire,35,74
gmail.com,35,790
vierge,36,35
partenaire,36,117
gmail.com,36,904
vierge,37,69
partenaire,37,175
gmail.com,37,1043
vierge,38,83
partenaire,38,201
gmail.com,38,1053
vierge,39,87
partenaire,39,202
gmail.com,39,1065
vierge,40,87
partenaire,40,203
gmail.com,40,1138
vierge,41,83
partenaire,41,208
gmail.com,41,1181
vierge,42,79
partenaire,42,203
gmail.com,42,1157
vierge,43,80
partenaire,43,204
gmail.com,43,1126
vierge,44,87
partenaire,44,210
gmail.com,44,1146
vierge,45,90
partenaire,45,207
gmail.com,45,1148
vierge,46,80
partenaire,46,211
gmail.com,46,1151
vierge,47,80
partenaire,47,204
gmail.com,47,1160
vierge,48,87
partenaire,48,183
gmail.com,48,1130
vierge,49,78
partenaire,49,177
gmail.com,49,1083
vierge,50,78
partenaire,50,191
gmail.com,50,1110
vierge,51,58
partenaire,51,149
gmail.com,51,1078
vierge,52,33
partenaire,52,131
gmail.com,52,910
vierge,53,32
partenaire,53,120
gmail.com,53,788
vierge,54,25
partenaire,54,95
gmail.com,54,759
vierge,55,20
partenaire,55,103
gmail.com,55,685
vierge,56,30
partenaire,56,93
gmail.com,56,615
vierge,57,43
partenaire,57,118
gmail.com,57,711
vierge,58,45
partenaire,58,127
gmail.com,58,834
vierge,59,43
partenaire,59,138
gmail.com,59,929
vierge,60,61
partenaire,60,177
gmail.com,60,1050
vierge,61,79
partenaire,61,186
gmail.com,61,1156
vierge,62,77
partenaire,62,188
gmail.com,62,1210
vierge,63,80
partenaire,63,195
gmail.com,63,1227
vierge,64,79
partenaire,64,200
gmail.com,64,1219
vierge,65,78
partenaire,65,195
gmail.com,65,1187
vierge,66,72
partenaire,66,186
gmail.com,66,1152
vierge,67,68
partenaire,67,180
gmail.com,67,1151
vierge,68,67
partenaire,68,180
gmail.com,68,1155
vierge,69,73
partenaire,69,187
gmail.com,69,1139
vierge,70,84
partenaire,70,188
gmail.com,70,1117
vierge,71,79
partenaire,71,168
gmail.com,71,1101
vierge,72,77
partenaire,72,146
gmail.com,72,1078
vierge,73,77
partenaire,73,143
gmail.com,73,1048
vierge,74,73
partenaire,74,148
gmail.com,74,1086
vierge,75,66
partenaire,75,158
gmail.com,75,1120
vierge,76,60
partenaire,76,166
gmail.com,76,1150
vierge,77,62
partenaire,77,164
gmail.com,77,1167
vierge,78,63
partenaire,78,155
gmail.com,78,1124
vierge,79,60
partenaire,79,149
gmail.com,79,1092
vierge,80,55
partenaire,80,147
gmail.com,80,1033
vierge,81,61
partenaire,81,160
gmail.com,81,898
