name,year,frequency
barcelone,1,43
usa,1,79
evenement,1,44
aventures,1,70
aventure,1,111
vacances,1,54
qatar,1,1
barcelone,2,49
usa,2,33
evenement,2,64
aventures,2,79
aventure,2,138
vacances,2,32
qatar,2,1
barcelone,3,61
usa,3,15
evenement,3,76
aventures,3,71
aventure,3,118
vacances,3,19
qatar,3,0
barcelone,4,74
usa,4,27
evenement,4,83
aventures,4,66
aventure,4,136
vacances,4,26
qatar,4,3
barcelone,5,69
usa,5,33
evenement,5,95
aventures,5,68
aventure,5,138
vacances,5,27
qatar,5,3
barcelone,6,56
usa,6,31
evenement,6,63
aventures,6,82
aventure,6,145
vacances,6,45
qatar,6,0
barcelone,7,50
usa,7,24
evenement,7,63
aventures,7,92
aventure,7,190
vacances,7,62
qatar,7,0
barcelone,8,47
usa,8,22
evenement,8,138
aventures,8,99
aventure,8,160
vacances,8,45
qatar,8,5
barcelone,9,56
usa,9,21
evenement,9,163
aventures,9,106
aventure,9,116
vacances,9,29
qatar,9,7
barcelone,10,79
usa,10,20
evenement,10,185
aventures,10,89
aventure,10,120
vacances,10,39
qatar,10,1
barcelone,11,75
usa,11,34
evenement,11,183
aventures,11,91
aventure,11,133
vacances,11,60
qatar,11,0
barcelone,12,72
usa,12,36
evenement,12,164
aventures,12,101
aventure,12,132
vacances,12,57
qatar,12,6
barcelone,13,113
usa,13,30
evenement,13,160
aventures,13,88
aventure,13,111
vacances,13,58
qatar,13,13
barcelone,14,132
usa,14,30
evenement,14,133
aventures,14,106
aventure,14,110
vacances,14,65
qatar,14,8
barcelone,15,94
usa,15,34
evenement,15,107
aventures,15,140
aventure,15,113
vacances,15,111
qatar,15,1
barcelone,16,95
usa,16,36
evenement,16,104
aventures,16,137
aventure,16,106
vacances,16,163
qatar,16,3
barcelone,17,135
usa,17,45
evenement,17,124
aventures,17,122
aventure,17,119
vacances,17,119
qatar,17,7
barcelone,18,128
usa,18,52
evenement,18,122
aventures,18,125
aventure,18,121
vacances,18,63
qatar,18,8
barcelone,19,111
usa,19,40
evenement,19,117
aventures,19,105
aventure,19,125
vacances,19,42
qatar,19,8
barcelone,20,117
usa,20,39
evenement,20,109
aventures,20,87
aventure,20,134
vacances,20,31
qatar,20,5
barcelone,21,117
usa,21,47
evenement,21,107
aventures,21,94
aventure,21,122
vacances,21,29
qatar,21,1
barcelone,22,110
usa,22,57
evenement,22,100
aventures,22,81
aventure,22,131
vacances,22,29
qatar,22,5
barcelone,23,99
usa,23,48
evenement,23,105
aventures,23,92
aventure,23,154
vacances,23,22
qatar,23,7
barcelone,24,76
usa,24,36
evenement,24,98
aventures,24,91
aventure,24,153
vacances,24,22
qatar,24,2
barcelone,25,61
usa,25,28
evenement,25,70
aventures,25,79
aventure,25,147
vacances,25,39
qatar,25,1
barcelone,26,66
usa,26,18
evenement,26,88
aventures,26,121
aventure,26,135
vacances,26,40
qatar,26,1
barcelone,27,66
usa,27,28
evenement,27,109
aventures,27,121
aventure,27,123
vacances,27,36
qatar,27,21
barcelone,28,57
usa,28,49
evenement,28,75
aventures,28,89
aventure,28,105
vacances,28,30
qatar,28,28
barcelone,29,52
usa,29,52
evenement,29,90
aventures,29,93
aventure,29,89
vacances,29,28
qatar,29,15
barcelone,30,101
usa,30,43
evenement,30,127
aventures,30,88
aventure,30,119
vacances,30,37
qatar,30,14
barcelone,31,122
usa,31,35
evenement,31,119
aventures,31,72
aventure,31,132
vacances,31,45
qatar,31,11
barcelone,32,66
usa,32,39
evenement,32,87
aventures,32,64
aventure,32,110
vacances,32,38
qatar,32,11
barcelone,33,97
usa,33,58
evenement,33,80
aventures,33,72
aventure,33,121
vacances,33,37
qatar,33,13
barcelone,34,104
usa,34,58
evenement,34,95
aventures,34,89
aventure,34,171
vacances,34,51
qatar,34,8
barcelone,35,50
usa,35,45
evenement,35,87
aventures,35,92
aventure,35,188
vacances,35,40
qatar,35,4
barcelone,36,67
usa,36,51
evenement,36,84
aventures,36,99
aventure,36,165
vacances,36,39
qatar,36,7
barcelone,37,63
usa,37,51
evenement,37,124
aventures,37,118
aventure,37,164
vacances,37,59
qatar,37,12
barcelone,38,42
usa,38,49
evenement,38,146
aventures,38,118
aventure,38,159
vacances,38,68
qatar,38,8
barcelone,39,39
usa,39,52
evenement,39,147
aventures,39,117
aventure,39,143
vacances,39,90
qatar,39,5
barcelone,40,47
usa,40,49
evenement,40,145
aventures,40,124
aventure,40,140
vacances,40,126
qatar,40,3
barcelone,41,50
usa,41,47
evenement,41,138
