name,value,year,lastValue,rank
Associatif,14.33923710873205,1,14.33923710873205,1
Politique,14.29046115931167,1,14.29046115931167,2
Sports,13.990738522100049,1,13.990738522100049,3
Divertissement,13.818331941481595,1,13.818331941481595,4
Gaming,12.694212045513098,1,12.694212045513098,5
Actualites,10.809693726102786,1,10.809693726102786,6
Education,10.63370040470192,1,10.63370040470192,7
Fortnite,9.303219932788185,1,9.303219932788185,8
Clubs_foot,8.711248256737354,1,8.711248256737354,9
Musique,8.212240799702684,1,8.212240799702684,10
Beaute,6.961754829557374,1,6.961754829557374,11
Film,5.207364417499459,1,5.207364417499459,12
Automobile,4.584294499098629,1,4.584294499098629,13
Voyages,4.057284187306319,1,4.057284187306319,14
Animaux,1.007704161219242,1,1.007704161219242,15
Gaming,17.007345900522097,2,12.694212045513098,1
Associatif,15.146558892208606,2,14.33923710873205,2
Divertissement,15.05296557774044,2,13.818331941481595,3
Politique,14.110282244888044,2,14.29046115931167,4
Sports,13.732725035712235,2,13.990738522100049,5
Actualites,13.366410854054173,2,10.809693726102786,6
Education,10.406536839467353,2,10.63370040470192,7
Fortnite,9.623168147885155,2,9.303219932788185,8
Beaute,8.293584486160103,2,6.961754829557374,9
Musique,8.138665054325969,2,8.212240799702684,10
Clubs_foot,7.418573364237213,2,8.711248256737354,11
Film,6.779050988354731,2,5.207364417499459,12
Automobile,4.734322729851529,2,4.584294499098629,13
Voyages,3.9824228578297856,2,4.057284187306319,14
Animaux,1.8301275535524402,2,1.007704161219242,15
Gaming,20.9551856510788,3,17.007345900522097,1
Associatif,15.861641229456787,3,15.146558892208606,2
Divertissement,15.325880994689765,3,15.05296557774044,3
Fortnite,13.87294441395256,3,9.623168147885155,4
Actualites,13.572037129089999,3,13.366410854054173,5
Sports,13.301764535091754,3,13.732725035712235,6
Politique,12.983223860193668,3,14.110282244888044,7
Education,11.594090588588758,3,10.406536839467353,8
Beaute,9.11176214354748,3,8.293584486160103,9
Musique,8.857582975784188,3,8.138665054325969,10
Film,7.496803595118376,3,6.779050988354731,11
Clubs_foot,6.48592216376173,3,7.418573364237213,12
Automobile,5.040718019804094,3,4.734322729851529,13
Voyages,3.6353981316768995,3,3.9824228578297856,14
Animaux,1.542575425654233,3,1.8301275535524402,15
Gaming,19.53027644298242,4,20.9551856510788,1
Associatif,16.326003138806996,4,15.861641229456787,2
Actualites,15.735851857929692,4,13.572037129089999,3
Divertissement,14.61233490566808,4,15.325880994689765,4
Sports,14.513606310985187,4,13.301764535091754,5
Politique,13.300756071774071,4,12.983223860193668,6
Education,11.84983994540617,4,11.594090588588758,7
Fortnite,10.976457640306277,4,13.87294441395256,8
Musique,9.378419893397151,4,8.857582975784188,9
Beaute,8.30296897372588,4,9.11176214354748,10
Clubs_foot,8.211989791464255,4,6.48592216376173,11
Film,7.9432333202464385,4,7.496803595118376,12
Voyages,4.189417355763115,4,3.6353981316768995,13
Automobile,3.917389266835942,4,5.040718019804094,14
Animaux,0.8793384616426627,4,1.542575425654233,15
Actualites,24.151171344796705,5,15.735851857929692,1
Gaming,16.062425452972885,5,19.53027644298242,2
Associatif,15.91423507565209,5,16.326003138806996,3
Sports,15.216479582689852,5,14.513606310985187,4
Divertissement,14.291735620041303,5,14.61233490566808,5
Politique,13.883004607062713,5,13.300756071774071,6
Education,11.63644973640472,5,11.84983994540617,7
Clubs_foot,10.995250993485659,5,8.211989791464255,8
Musique,9.372166080007773,5,9.378419893397151,9
Beaute,8.094166960323653,5,8.30296897372588,10
Fortnite,8.066185844279904,5,10.976457640306277,11
Film,7.51604846758535,5,7.9432333202464385,12
Voyages,4.367787440740416,5,4.189417355763115,13
Automobile,4.301555192650084,5,3.917389266835942,14
Animaux,0.9231479870057451,5,0.8793384616426627,15
Actualites,39.24674054726094,6,24.151171344796705,1
Gaming,17.321899064264876,6,16.062425452972885,2
Associatif,16.006303578952853,6,15.91423507565209,3
Divertissement,15.204836341728488,6,14.291735620041303,4
Fortnite,14.353012396780203,6,8.066185844279904,5
Politique,13.859098977025099,6,13.883004607062713,6
Sports,13.35324004740745,6,15.216479582689852,7
Education,12.341640721010858,6,11.63644973640472,8
Musique,9.160248297268335,6,9.372166080007773,9
Beaute,9.077944645240173,6,8.094166960323653,10
Clubs_foot,8.498614076204667,6,10.995250993485659,11
Film,6.36032468385234,6,7.51604846758535,12
Automobile,5.89803965561004,6,4.301555192650084,13
Voyages,4.247014188854054,6,4.367787440740416,14
Animaux,1.0964499051974277,6,0.9231479870057451,15
Actualites,43.26086938386342,7,39.24674054726094,1
Gaming,19.952119901702908,7,17.321899064264876,2
Fortnite,18.172744675671858,7,14.353012396780203,3
Associatif,16.825086287785552,7,16.006303578952853,4
Divertissement,15.25687903747673,7,15.204836341728488,5
Education,12.924865495797334,7,12.341640721010858,6
Sports,12.395303560326967,7,13.35324004740745,7
Politique,12.22211216861362,7,13.859098977025099,8
Beaute,9.715569530880202,7,9.077944645240173,9
Musique,9.16279241982753,7,9.160248297268335,10
Film,6.952349284750568,7,6.36032468385234,11
Automobile,6.130599569618692,7,5.89803965561004,12
Clubs_foot,5.233584651212061,7,8.498614076204667,13
Voyages,4.833878029959289,7,4.247014188854054,14
Animaux,2.0003668735347175,7,1.0964499051974277,15
Fortnite,35.55055547041744,8,18.172744675671858,1
Actualites,35.308385248959695,8,43.26086938386342,2
Gaming,20.175000764976097,8,19.952119901702908,3
Associatif,17.619810998549788,8,16.825086287785552,4
Divertissement,15.507965441322344,8,15.25687903747673,5
Education,12.709151838648264,8,12.924865495797334,6
Politique,12.207246177367335,8,12.22211216861362,7
Sports,12.107464431277851,8,12.395303560326967,8
Beaute,10.677370630048083,8,9.715569530880202,9
Musique,8.826699327590426,8,9.16279241982753,10
Film,7.603584077283016,8,6.952349284750568,11
Automobile,5.25845936176914,8,6.130599569618692,12
Voyages,5.196498252753665,8,4.833878029959289,13
Clubs_foot,4.6580663263712605,8,5.233584651212061,14
Animaux,2.2327851169694695,8,2.0003668735347175,15
Fortnite,37.547395731003895,9,35.55055547041744,1
Actualites,28.69969453041038,9,35.308385248959695,2
Gaming,22.23767223096882,9,20.175000764976097,3
Associatif,18.87880351120053,9,17.619810998549788,4
Divertissement,16.922024782462305,9,15.507965441322344,5
Politique,13.367219334125593,9,12.207246177367335,6
Education,11.991038274562126,9,12.709151838648264,7
Sports,11.078665767443528,9,12.107464431277851,8
Beaute,10.252901084346998,9,10.677370630048083,9
Musique,8.38146736004804,9,8.826699327590426,10
Film,7.431639437340819,9,7.603584077283016,11
Voyages,5.000479779000515,9,5.196498252753665,12
Automobile,4.54199726311457,9,5.25845936176914,13
Clubs_foot,3.887129888111187,9,4.6580663263712605,14
Animaux,1.6906902930182501,9,2.2327851169694695,15
Fortnite,33.6205526316638,10,37.547395731003895,1
Actualites,24.48825086083445,10,28.69969453041038,2
Gaming,23.920078069630577,10,22.23767223096882,3
Associatif,18.285783983809107,10,18.87880351120053,4
Divertissement,15.864990620506278,10,16.922024782462305,5
Politique,13.607995461964702,10,13.367219334125593,6
Sports,11.778270695392933,10,11.078665767443528,7
Education,11.260811728556945,10,11.991038274562126,8
Beaute,10.135732084581775,10,10.252901084346998,9
Musique,8.412545673600306,10,8.38146736004804,10
Film,7.443797501330947,10,7.431639437340819,11
Voyages,5.350325584416952,10,5.000479779000515,12
Clubs_foot,5.0021164782068945,10,3.887129888111187,13
Automobile,4.900283915420952,10,4.54199726311457,14
Animaux,1.324071285243131,10,1.6906902930182501,15
Fortnite,39.4575668231608,11,33.6205526316638,1
Gaming,23.385227060946068,11,23.920078069630577,2
Actualites,20.569074770302223,11,24.48825086083445,3
Associatif,16.456707504394466,11,18.285783983809107,4
Divertissement,15.389853805430294,11,15.864990620506278,5
Sports,14.1769149696328,11,11.778270695392933,6
Politique,13.265307510990585,11,13.607995461964702,7
Education,10.766683578208973,11,11.260811728556945,8
Beaute,10.395091522237701,11,10.135732084581775,9
Film,7.7575384212676814,11,7.443797501330947,10
Musique,7.7285455556859155,11,8.412545673600306,11
Clubs_foot,6.364484342673963,11,5.0021164782068945,12
Voyages,5.7885132247456035,11,5.350325584416952,13
Automobile,5.750380416754155,11,4.900283915420952,14
Animaux,1.0361724979794271,11,1.324071285243131,15
Fortnite,33.172284780422835,12,39.4575668231608,1
Gaming,24.11753726712007,12,23.385227060946068,2
Actualites,18.237696887312048,12,20.569074770302223,3
Associatif,16.760354420724795,12,16.456707504394466,4
Divertissement,16.660327418398573,12,15.389853805430294,5
Sports,14.914643221295918,12,14.1769149696328,6
Politique,13.16609398975965,12,13.265307510990585,7
Education,11.245719527566777,12,10.766683578208973,8
Beaute,9.352151075469969,12,10.395091522237701,9
Film,8.771883077905528,12,7.7575384212676814,10
Musique,8.053455155988665,12,7.7285455556859155,11
Clubs_foot,6.428580060442167,12,6.364484342673963,12
Voyages,5.711726458979705,12,5.7885132247456035,13
Automobile,5.700444246201016,12,5.750380416754155,14
Animaux,1.2857009410139375,12,1.0361724979794271,15
Fortnite,31.42391017354578,13,33.172284780422835,1
Gaming,27.80415545291804,13,24.11753726712007,2
Actualites,19.892581890189113,13,18.237696887312048,3
Associatif,19.19099314540847,13,16.760354420724795,4
Divertissement,16.5200601853226,13,16.660327418398573,5
Politique,15.407308257061654,13,13.16609398975965,6
Sports,14.6662378441278,13,14.914643221295918,7
Education,11.634237990513174,13,11.245719527566777,8
Musique,9.58034017557371,13,8.053455155988665,9
Beaute,9.412902008574843,13,9.352151075469969,10
Film,9.155855345282287,13,8.771883077905528,11
Clubs_foot,8.01378636913204,13,6.428580060442167,12
Automobile,6.012083341272333,13,5.700444246201016,13
Voyages,5.765504621137543,13,5.711726458979705,14
Animaux,1.3837188278632115,13,1.2857009410139375,15
Gaming,26.709351623837836,14,27.80415545291804,1
Fortnite,25.985171566727935,14,31.42391017354578,2
Actualites,19.502116745526,14,19.892581890189113,3
Associatif,18.651478713732825,14,19.19099314540847,4
Divertissement,17.304402193215605,14,16.5200601853226,5
Politique,16.71631609288698,14,15.407308257061654,6
Sports,15.519236051063086,14,14.6662378441278,7
Education,11.352944257072005,14,11.634237990513174,8
Film,9.717626789844964,14,9.155855345282287,9
Musique,9.603986736825703,14,9.58034017557371,10
Beaute,9.485982308321645,14,9.412902008574843,11
Clubs_foot,9.217175155808775,14,8.01378636913204,12
Automobile,6.825833123351778,14,6.012083341272333,13
Voyages,5.877561593171437,14,5.765504621137543,14
Animaux,1.208910380477486,14,1.3837188278632115,15
Gaming,22.145578467100435,15,26.709351623837836,1
Fortnite,22.049873576170288,15,25.985171566727935,2
Divertissement,19.047400521015874,15,17.304402193215605,3
Associatif,18.65862227641732,15,18.651478713732825,4
Actualites,18.223814613320503,15,19.502116745526,5
Sports,16.531981348913572,15,15.519236051063086,6
Politique,15.083063720813076,15,16.71631609288698,7
Education,11.759001991885821,15,11.352944257072005,8
Film,10.51142067973835,15,9.717626789844964,9
Beaute,9.838313404172938,15,9.485982308321645,10
Musique,9.789290056896501,15,9.603986736825703,11
Clubs_foot,8.51303666554054,15,9.217175155808775,12
Voyages,6.03335916259738,15,5.877561593171437,13
Automobile,5.617100672026341,15,6.825833123351778,14
Animaux,1.3769184686489497,15,1.208910380477486,15
Fortnite,25.21272882255763,16,22.049873576170288,1
Gaming,24.218484354305517,16,22.145578467100435,2
Sports,20.851964797397237,16,16.531981348913572,3
Divertissement,18.043218984650807,16,19.047400521015874,4
Associatif,17.648943207962482,16,18.65862227641732,5
Actualites,17.35253504550127,16,18.223814613320503,6
Politique,13.902573790677476,16,15.083063720813076,7
Clubs_foot,11.42874170203046,16,8.51303666554054,8
Education,11.169231933536,16,11.759001991885821,9
Film,10.742502021703539,16,10.51142067973835,10
Beaute,9.96833684419444,16,9.838313404172938,11
Musique,8.815959693976811,16,9.789290056896501,12
Voyages,6.464702261768152,16,6.03335916259738,13
Automobile,4.220624320303099,16,5.617100672026341,14
Animaux,1.5302641401383208,16,1.3769184686489497,15
Sports,25.904885821235673,17,20.851964797397237,1
Gaming,25.801425511485462,17,24.218484354305517,2
Fortnite,24.030327173900766,17,25.21272882255763,3
Actualites,17.38843255798435,17,17.35253504550127,4
Divertissement,17.119307850664946,17,18.043218984650807,5
Associatif,16.156906623117408,17,17.648943207962482,6
Clubs_foot,15.252500685506,17,11.42874170203046,7
Politique,13.563619515682777,17,13.902573790677476,8
Film,11.575905754948934,17,10.742502021703539,9
Education,10.364021390213487,17,11.169231933536,10
Beaute,9.816583463548273,17,9.96833684419444,11
Musique,8.163891563042869,17,8.815959693976811,12
Voyages,6.748066558659883,17,6.464702261768152,13
Automobile,4.087529551761035,17,4.220624320303099,14
Animaux,1.3100547376563343,17,1.5302641401383208,15
Sports,23.031623485933892,18,25.904885821235673,1
Gaming,21.490762556197836,18,25.801425511485462,2
Fortnite,20.458381573312998,18,24.030327173900766,3
Divertissement,19.240842825894426,18,17.119307850664946,4
Actualites,18.03725213503262,18,17.38843255798435,5
Associatif,17.450316525053246,18,16.156906623117408,6
Politique,13.650596843653325,18,13.563619515682777,7
Education,13.485255773519874,18,10.364021390213487,8
Film,12.769633859605499,18,11.575905754948934,9
Clubs_foot,11.95239939083023,18,15.252500685506,10
Musique,11.518310373734924,18,8.163891563042869,11
Beaute,9.886763947888127,18,9.816583463548273,12
Voyages,6.223621737476697,18,6.748066558659883,13
Automobile,4.141197595391684,18,4.087529551761035,14
Animaux,1.3279362666875447,18,1.3100547376563343,15
Divertissement,19.990632497147367,19,19.240842825894426,1
Gaming,18.622565588475894,19,21.490762556197836,2
Fortnite,18.357472931538847,19,20.458381573312998,3
Sports,18.29110462300762,19,23.031623485933892,4
Actualites,18.074736159173668,19,18.03725213503262,5
Associatif,15.834911277548699,19,17.450316525053246,6
Politique,14.090423971783952,19,13.650596843653325,7
Education,13.933414893415508,19,13.485255773519874,8
Film,12.52437154732933,19,12.769633859605499,9
Musique,12.151525104453171,19,11.518310373734924,10
Beaute,9.820898771741286,19,9.886763947888127,11
Clubs_foot,9.274061791097175,19,11.95239939083023,12
Voyages,5.524359372664987,19,6.223621737476697,13
Automobile,3.9709642799583484,19,4.141197595391684,14
Animaux,1.569671677343214,19,1.3279362666875447,15
Divertissement,20.0753186029784,20,19.990632497147367,1
Gaming,18.881455485572705,20,18.622565588475894,2
Actualites,18.545226892225514,20,18.074736159173668,3
Sports,17.49076518561929,20,18.29110462300762,4
Associatif,15.124712795054325,20,15.834911277548699,5
Fortnite,14.593515157564962,20,18.357472931538847,6
Politique,13.875895946202201,20,14.090423971783952,7
Film,12.81962235057732,20,12.52437154732933,8
