name,year,frequency
Film,1,520
Automobile,1,458
Musique,1,821
Animaux,1,100
Sports,1,1399
Voyages,1,405
Gaming,1,1269
Divertissement,1,1381
Politique,1,1129
Beaute,1,696
Education,1,1063
Associatif,1,1433
Actualites,1,1380
Clubs_foot,1,871
Fortnite,1,930
Jesus-Snap,1,807
Ukraine-Cryptos,1,250
Covid-cuisine,1,1
Film,2,677
Automobile,2,473
Musique,2,813
Animaux,2,183
Sports,2,1373
Voyages,2,398
Gaming,2,1700
Divertissement,2,1505
Politique,2,1106
Beaute,2,829
Education,2,1040
Associatif,2,1514
Actualites,2,1641
Clubs_foot,2,741
Fortnite,2,962
Jesus-Snap,2,766
Ukraine-Cryptos,2,371
Covid-cuisine,2,1
Film,3,749
Automobile,3,504
Musique,3,885
Animaux,3,154
Sports,3,1330
Voyages,3,363
Gaming,3,2095
Divertissement,3,1532
Politique,3,984
Beaute,3,911
Education,3,1159
Associatif,3,1586
Actualites,3,1670
Clubs_foot,3,648
Fortnite,3,1387
Jesus-Snap,3,762
Ukraine-Cryptos,3,373
Covid-cuisine,3,10
Film,4,794
Automobile,4,391
Musique,4,937
Animaux,4,87
Sports,4,1451
Voyages,4,418
Gaming,4,1953
Divertissement,4,1461
Politique,4,1031
Beaute,4,830
Education,4,1184
Associatif,4,1632
Actualites,4,1871
Clubs_foot,4,821
Fortnite,4,1097
Jesus-Snap,4,764
Ukraine-Cryptos,4,372
Covid-cuisine,4,63
Film,5,751
Automobile,5,430
Musique,5,937
Animaux,5,92
Sports,5,1521
Voyages,5,436
Gaming,5,1606
Divertissement,5,1429
Politique,5,1063
Beaute,5,809
Education,5,1163
Associatif,5,1591
Actualites,5,2739
Clubs_foot,5,1099
Fortnite,5,806
Jesus-Snap,5,729
Ukraine-Cryptos,5,360
Covid-cuisine,5,171
Film,6,636
Automobile,6,589
Musique,6,916
Animaux,6,109
Sports,6,1335
Voyages,6,424
Gaming,6,1732
Divertissement,6,1520
Politique,6,1035
Beaute,6,907
Education,6,1234
Associatif,6,1600
Actualites,6,4274
Clubs_foot,6,849
Fortnite,6,1435
Jesus-Snap,6,729
Ukraine-Cryptos,6,269
Covid-cuisine,6,740
Film,7,695
Automobile,7,613
Musique,7,916
Animaux,7,200
Sports,7,1239
Voyages,7,483
Gaming,7,1995
Divertissement,7,1525
Politique,7,916
Beaute,7,971
Education,7,1292
Associatif,7,1682
Actualites,7,4632
Clubs_foot,7,523
Fortnite,7,1817
Jesus-Snap,7,732
Ukraine-Cryptos,7,177
Covid-cuisine,7,1245
Film,8,760
Automobile,8,525
Musique,8,882
Animaux,8,223
Sports,8,1210
Voyages,8,519
Gaming,8,2017
Divertissement,8,1550
Politique,8,910
Beaute,8,1067
Education,8,1270
Associatif,8,1761
Actualites,8,3840
Clubs_foot,8,465
Fortnite,8,3555
Jesus-Snap,8,740
Ukraine-Cryptos,8,184
Covid-cuisine,8,1152
Film,9,743
Automobile,9,454
Musique,9,838
Animaux,9,169
Sports,9,1107
Voyages,9,500
Gaming,9,2223
Divertissement,9,1692
Politique,9,1018
Beaute,9,1025
Education,9,1199
Associatif,9,1887
Actualites,9,3188
Clubs_foot,9,388
Fortnite,9,3754
Jesus-Snap,9,761
Ukraine-Cryptos,9,153
Covid-cuisine,9,950
Film,10,744
Automobile,10,490
Musique,10,841
Animaux,10,132
Sports,10,1177
Voyages,10,535
Gaming,10,2392
Divertissement,10,1586
Politique,10,1033
Beaute,10,1013
Education,10,1126
Associatif,10,1828
Actualites,10,2775
Clubs_foot,10,500
Fortnite,10,3362
Jesus-Snap,10,719
Ukraine-Cryptos,10,170
Covid-cuisine,10,851
Film,11,775
Automobile,11,575
Musique,11,772
Animaux,11,103
Sports,11,1417
Voyages,11,578
Gaming,11,2338
Divertissement,11,1538
Politique,11,995
Beaute,11,1039
Education,11,1076
Associatif,11,1645
Actualites,11,2387
Clubs_foot,11,636
Fortnite,11,3945
Jesus-Snap,11,663
Ukraine-Cryptos,11,258
Covid-cuisine,11,707
Film,12,877
Automobile,12,570
Musique,12,805
Animaux,12,128
Sports,12,1491
Voyages,12,571
Gaming,12,2411
Divertissement,12,1666
Politique,12,956
Beaute,12,935
Education,12,1124
Associatif,12,1676
Actualites,12,2184
Clubs_foot,12,642
Fortnite,12,3317
Jesus-Snap,12,658
Ukraine-Cryptos,12,289
Covid-cuisine,12,506
Film,13,915
Automobile,13,601
Musique,13,958
Animaux,13,138
Sports,13,1466
Voyages,13,576
Gaming,13,2780
Divertissement,13,1652
Politique,13,1155
Beaute,13,941
Education,13,1163
Associatif,13,1919
Actualites,13,2374
Clubs_foot,13,801
Fortnite,13,3142
Jesus-Snap,13,720
Ukraine-Cryptos,13,221
Covid-cuisine,13,476
Film,14,971
Automobile,14,682
Musique,14,960
Animaux,14,120
Sports,14,1551
Voyages,14,587
