name,value,year,lastValue,rank
ukraine,0.4404403146938436,1,0.4404403146938436,1
cryptos,0.3446457124562493,1,0.3446457124562493,2
cryptos,0.5499706015843331,2,0.3446457124562493,1
ukraine,0.41612295989590947,2,0.4404403146938436,2
cryptos,0.6050286262837563,3,0.5499706015843331,1
ukraine,0.10768642233897657,3,0.41612295989590947,2
cryptos,0.576065906234699,4,0.6050286262837563,1
ukraine,0.26466600202872237,4,0.10768642233897657,2
cryptos,0.552236249391242,5,0.576065906234699,1
ukraine,0.28863942045664437,5,0.26466600202872237,2
cryptos,0.4256465172304256,6,0.552236249391242,1
ukraine,0.14469977086906277,6,0.28863942045664437,2
cryptos,0.2805723355162141,7,0.4256465172304256,1
ukraine,0.09064681108751566,7,0.14469977086906277,2
cryptos,0.3027227325228341,8,0.2805723355162141,1
ukraine,0.03199416585321559,8,0.09064681108751566,2
cryptos,0.24137395189210553,9,0.3027227325228341,1
ukraine,0.0819589133241207,9,0.03199416585321559,2
cryptos,0.2671715023974902,10,0.24137395189210553,1
ukraine,0.09797428808389008,10,0.0819589133241207,2
cryptos,0.42865567097115154,11,0.2671715023974902,1
ukraine,0.016015374759769378,11,0.09797428808389008,2
cryptos,0.4792640180391119,12,0.42865567097115154,1
ukraine,0.018129079042784626,12,0.016015374759769378,2
cryptos,0.35537625873375733,13,0.4792640180391119,1
ukraine,0.07886460577095843,13,0.018129079042784626,2
cryptos,0.30933671754993386,14,0.35537625873375733,1
ukraine,0.09007454022173472,14,0.07886460577095843,2
cryptos,0.2468426134907813,15,0.30933671754993386,1
ukraine,0.1823522993978111,15,0.09007454022173472,2
ukraine,0.2544521250740585,16,0.1823522993978111,1
cryptos,0.2343475795715712,16,0.2468426134907813,2
cryptos,0.40078416396373956,17,0.2343475795715712,1
ukraine,0.13758800203129995,17,0.2544521250740585,2
cryptos,0.48553442195192165,18,0.40078416396373956,1
ukraine,0.09499169922201363,18,0.13758800203129995,2
cryptos,0.4004937731716043,19,0.48553442195192165,1
ukraine,0.12880557908932305,19,0.09499169922201363,2
cryptos,0.4043523978109736,20,0.4004937731716043,1
ukraine,0.21331799278912858,20,0.12880557908932305,2
cryptos,0.37867898792739485,21,0.4043523978109736,1
ukraine,0.20574968115049558,21,0.21331799278912858,2
cryptos,0.2935126023860613,22,0.37867898792739485,1
ukraine,0.0878141515273821,22,0.20574968115049558,2
cryptos,0.2591492567031757,23,0.2935126023860613,1
ukraine,0.035682146217181215,23,0.0878141515273821,2
cryptos,0.25535626711298587,24,0.2591492567031757,1
ukraine,0.03342992613081698,24,0.035682146217181215,2
cryptos,0.34009026656956254,25,0.25535626711298587,1
ukraine,0.08563031788913424,25,0.03342992613081698,2
cryptos,0.2752404151546681,26,0.34009026656956254,1
ukraine,0.06246311753828444,26,0.08563031788913424,2
cryptos,0.2715718933737255,27,0.2752404151546681,1
ukraine,0.011125945705384985,27,0.06246311753828444,2
cryptos,0.3295485883934919,28,0.2715718933737255,1
ukraine,0.07272057094514041,28,0.011125945705384985,2
cryptos,0.27117794874015944,29,0.3295485883934919,1
ukraine,0.12864708190629828,29,0.07272057094514041,2
cryptos,0.22366971248298914,30,0.27117794874015944,1
ukraine,0.07495384731129634,30,0.12864708190629828,2
cryptos,0.22442762105966313,31,0.22366971248298914,1
ukraine,0.10350536034928906,31,0.07495384731129634,2
ukraine,0.3497450184712044,32,0.10350536034928906,1
cryptos,0.27002520595714885,32,0.22442762105966313,2
ukraine,0.5972100118465842,33,0.3497450184712044,1
cryptos,0.26501816229010833,33,0.27002520595714885,2
ukraine,0.8762816963948954,34,0.5972100118465842,1
cryptos,0.2981152512604945,34,0.26501816229010833,2
ukraine,0.6555523540565079,35,0.8762816963948954,1
cryptos,0.3560726647295755,35,0.2981152512604945,2
cryptos,0.41758695629470427,36,0.3560726647295755,1
ukraine,0.1569600186854645,36,0.6555523540565079,2
cryptos,0.40005259546836436,37,0.41758695629470427,1
ukraine,0.05673364518552161,37,0.1569600186854645,2
cryptos,0.33007380441034784,38,0.40005259546836436,1
ukraine,0.24757732120867465,38,0.05673364518552161,2
ukraine,0.4602882378437834,39,0.24757732120867465,1
cryptos,0.32289662079846004,39,0.33007380441034784,2
cryptos,0.27946750750342575,40,0.32289662079846004,1
ukraine,0.2738449795654363,40,0.4602882378437834,2
cryptos,0.2567302929157744,41,0.27946750750342575,1
ukraine,0.0740087898695089,41,0.2738449795654363,2
cryptos,0.23014493982148493,42,0.2567302929157744,1
ukraine,0.06164723821718058,42,0.0740087898695089,2
cryptos,0.19088972869162368,43,0.23014493982148493,1
ukraine,0.05367570487879534,43,0.06164723821718058,2
cryptos,0.24683898583944291,44,0.19088972869162368,1
ukraine,0.16112304205933786,44,0.05367570487879534,2
cryptos,0.3059686663261334,45,0.24683898583944291,1
ukraine,0.1576477989957144,45,0.16112304205933786,2
cryptos,0.2780841910562092,46,0.3059686663261334,1
ukraine,0.055237550310869965,46,0.1576477989957144,2
cryptos,0.28940271912987786,47,0.2780841910562092,1
ukraine,0.05135284791284492,47,0.055237550310869965,2
cryptos,0.31963296805417374,48,0.28940271912987786,1
ukraine,0.04317544174903204,48,0.05135284791284492,2
cryptos,0.3276978903869251,49,0.31963296805417374,1
ukraine,0.06903380926932548,49,0.04317544174903204,2
cryptos,0.3406978390952291,50,0.3276978903869251,1
