name,year,frequency
ukraine,1,44
cryptos,1,34
ukraine,2,41
cryptos,2,54
ukraine,3,10
cryptos,3,60
ukraine,4,26
cryptos,4,57
ukraine,5,28
cryptos,5,55
ukraine,6,14
cryptos,6,42
ukraine,7,9
cryptos,7,28
ukraine,8,3
cryptos,8,30
ukraine,9,8
cryptos,9,24
ukraine,10,9
cryptos,10,26
ukraine,11,1
cryptos,11,42
ukraine,12,1
cryptos,12,47
ukraine,13,7
cryptos,13,35
ukraine,14,9
cryptos,14,30
ukraine,15,18
cryptos,15,24
ukraine,16,25
cryptos,16,23
ukraine,17,13
cryptos,17,40
ukraine,18,9
cryptos,18,48
ukraine,19,12
cryptos,19,40
ukraine,20,21
cryptos,20,40
ukraine,21,20
cryptos,21,37
ukraine,22,8
cryptos,22,29
ukraine,23,3
cryptos,23,25
ukraine,24,3
cryptos,24,25
ukraine,25,8
cryptos,25,34
ukraine,26,6
cryptos,26,27
ukraine,27,1
cryptos,27,27
ukraine,28,7
cryptos,28,32
ukraine,29,12
cryptos,29,27
ukraine,30,7
cryptos,30,22
ukraine,31,10
cryptos,31,22
ukraine,32,34
cryptos,32,27
ukraine,33,59
cryptos,33,26
ukraine,34,87
cryptos,34,29
ukraine,35,65
cryptos,35,35
ukraine,36,15
cryptos,36,41
ukraine,37,5
cryptos,37,40
ukraine,38,24
cryptos,38,33
ukraine,39,46
cryptos,39,32
ukraine,40,27
cryptos,40,27
ukraine,41,7
cryptos,41,25
ukraine,42,6
cryptos,42,23
ukraine,43,5
cryptos,43,19
ukraine,44,16
cryptos,44,24
ukraine,45,15
cryptos,45,30
ukraine,46,5
cryptos,46,27
ukraine,47,5
cryptos,47,28
ukraine,48,4
cryptos,48,31
ukraine,49,6
cryptos,49,32
ukraine,50,17
cryptos,50,34
ukraine,51,61
cryptos,51,44
ukraine,52,69
cryptos,52,45
ukraine,53,50
cryptos,53,26
ukraine,54,221
cryptos,54,25
ukraine,55,393
cryptos,55,86
ukraine,56,1171
cryptos,56,140
ukraine,57,2354
cryptos,57,153
ukraine,58,1962
cryptos,58,162
ukraine,59,964
cryptos,59,132
ukraine,60,526
cryptos,60,96
ukraine,61,284
cryptos,61,86
ukraine,62,285
cryptos,62,84
ukraine,63,289
cryptos,63,85
ukraine,64,279
cryptos,64,87
ukraine,65,225
cryptos,65,72
ukraine,66,184
cryptos,66,58
ukraine,67,170
cryptos,67,52
ukraine,68,127
cryptos,68,48
ukraine,69,104
cryptos,69,49
ukraine,70,107
cryptos,70,51
ukraine,71,140
cryptos,71,55
ukraine,72,192
cryptos,72,56
ukraine,73,220
cryptos,73,52
ukraine,74,205
cryptos,74,49
ukraine,75,187
cryptos,75,60
ukraine,76,210
cryptos,76,65
ukraine,77,220
cryptos,77,55
ukraine,78,198
cryptos,78,47
ukraine,79,171
cryptos,79,49
ukraine,80,185
cryptos,80,62
ukraine,81,219
cryptos,81,60
